,Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
0,enfj songs according to personality database,Forever Winter (Taylor's Version) (From The Vault),Taylor Swift,0.611,0.552,7,-5.828,1,0.031,0.256,0.0,0.134,0.41,116.012,263533,4
1,enfj songs according to personality database,brutal,Olivia Rodrigo,0.672,0.526,4,-6.446,1,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,143747,4
2,enfj songs according to personality database,mirrorball,Taylor Swift,0.553,0.413,2,-10.037,1,0.0334,0.687,2.33e-06,0.0594,0.379,110.107,208978,4
3,enfj songs according to personality database,How to Be a Heartbreaker,MARINA,0.69,0.897,11,-4.696,0,0.0506,0.0142,0.0,0.108,0.849,140.05,221493,4
4,enfj songs according to personality database,I Will,Mitski,0.536,0.307,2,-13.659,1,0.0356,0.0526,0.39,0.11,0.264,137.981,174760,4
5,enfj songs according to personality database,Don’t Blame Me,Taylor Swift,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,236413,4
6,enfj songs according to personality database,Blank Space,Taylor Swift,0.753,0.678,5,-5.421,1,0.0644,0.085,1.64e-06,0.13,0.583,96.006,231827,4
7,enfj songs according to personality database,Getaway Car,Taylor Swift,0.562,0.689,2,-6.745,1,0.127,0.00465,2.23e-06,0.0888,0.351,172.054,233627,4
8,enfj songs according to personality database,Dealer,Lana Del Rey,0.602,0.59,0,-6.346,0,0.0279,0.318,0.000166,0.104,0.381,130.08,274293,4
9,enfj songs according to personality database,This Side of Paradise,Coyote Theory,0.306,0.664,9,-6.07,1,0.0276,0.432,7.5e-06,0.135,0.321,158.283,242010,4
10,enfj songs according to personality database,"Goodbye, My Danish Sweetheart",Mitski,0.652,0.435,1,-6.586,1,0.0384,0.813,0.0,0.106,0.473,120.006,137024,4
11,enfj songs according to personality database,gold rush,Taylor Swift,0.512,0.462,9,-10.491,1,0.0408,0.83,0.166,0.121,0.353,112.05,185320,4
12,enfj songs according to personality database,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr., Bill Withers",0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,438493,4
13,enfj songs according to personality database,Careless Whisper - Remastered,George Michael,0.596,0.641,2,-8.88,0,0.0336,0.138,0.0,0.318,0.792,76.59,303427,4
14,enfj songs according to personality database,Cigarette Daydreams,Cage The Elephant,0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98,208760,4
15,enfj songs according to personality database,Lover,Taylor Swift,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,221307,4
16,enfj songs according to personality database,Die For You,The Weeknd,0.582,0.525,1,-7.163,0,0.0627,0.111,0.0,0.134,0.51,133.249,260253,4
17,enfj songs according to personality database,Remember My Name,Mitski,0.313,0.691,11,-3.001,1,0.0345,0.000508,0.423,0.185,0.595,203.981,135314,4
18,enfj songs according to personality database,home with you,FKA twigs,0.378,0.196,0,-12.5,1,0.0561,0.842,2.76e-05,0.105,0.0995,119.037,224947,5
19,enfj songs according to personality database,Sweet Carolina,Lana Del Rey,0.45,0.148,1,-11.802,1,0.0569,0.976,0.000409,0.107,0.0758,79.727,201780,5
20,enfj songs according to personality database,Locked out of Heaven,Bruno Mars,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,233478,4
21,enfj songs according to personality database,My Boy - Twin Fantasy,Car Seat Headrest,0.568,0.308,9,-9.865,1,0.033,0.0871,0.0418,0.128,0.379,115.078,172920,4
22,enfj songs according to personality database,Babe (Taylor's Version) (From The Vault),Taylor Swift,0.584,0.743,4,-7.075,1,0.0931,0.0538,2.83e-06,0.121,0.746,167.844,224240,4
23,enfj songs according to personality database,Sadderdaze,The Neighbourhood,0.414,0.527,4,-4.749,0,0.0287,0.00971,5.05e-05,0.145,0.306,120.009,245827,4
