Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
enfp songs' database,Disaster,Conan Gray,0.614,0.81,0,-5.184,1,0.0926,0.0101,0.0,0.0832,0.605,171.09,153097,4
enfp songs' database,Teen Idle,MARINA,0.571,0.651,5,-6.26,1,0.0349,0.242,0.0,0.0938,0.374,121.202,254400,4
enfp songs' database,Everybody Wants To Rule The World,Tears For Fears,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,251489,4
enfp songs' database,High Hopes,Panic! At The Disco,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,190947,4
enfp songs' database,One More Hour,Tame Impala,0.647,0.398,4,-8.63,1,0.0283,0.108,0.107,0.148,0.32,102.029,432560,4
enfp songs' database,Diet Mountain Dew,Lana Del Rey,0.46,0.683,10,-5.97,0,0.0891,0.282,0.0,0.425,0.592,175.743,222920,4
enfp songs' database,Heat Waves,Glass Animals,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4
enfp songs' database,New Romantics,Taylor Swift,0.633,0.889,5,-5.87,1,0.0715,0.00463,0.000458,0.0658,0.584,121.956,230467,4
enfp songs' database,No Other Heart,Mac DeMarco,0.67,0.684,2,-7.47,1,0.0242,0.513,0.0103,0.126,0.852,94.261,173118,4
enfp songs' database,Shut Up and Dance,WALK THE MOON,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,199080,4
enfp songs' database,The Zombie Song,Stephanie Mabey,0.742,0.439,4,-8.598,0,0.065,0.135,0.0,0.122,0.826,92.017,172820,4
enfp songs' database,GUY.exe,Superfruit,0.77,0.732,4,-4.601,0,0.0508,0.0305,0.0,0.157,0.889,110.011,222680,4
enfp songs' database,betty,Taylor Swift,0.593,0.377,0,-8.761,1,0.0253,0.6,0.0,0.0976,0.502,95.939,294521,4
enfp songs' database,Pity Party,Melanie Martinez,0.716,0.73,6,-4.126,0,0.0364,0.058,7.32e-06,0.151,0.339,136.05,204086,4
enfp songs' database,Smells Like Teen Spirit,Nirvana,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920,4
enfp songs' database,Music For a Sushi Restaurant,Harry Styles,0.72,0.715,11,-4.652,1,0.04,0.258,0.0568,0.107,0.357,107.041,193813,4
enfp songs' database,World's Smallest Violin,AJR,0.68,0.697,5,-7.01,1,0.0484,0.121,0.0,0.661,0.684,116.033,180747,4
enfp songs' database,Golden,Harry Styles,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,208907,4
enfp songs' database,Bohemian Rhapsody,Queen,0.39,0.397,0,-9.963,0,0.0513,0.287,0.0,0.207,0.246,144.031,354947,4
enfp songs' database,I'm so crazy for youuu </3,Rebzyyx,0.517,0.995,6,-1.437,1,0.0989,0.0785,0.0,0.703,0.803,159.402,110134,4
enfp songs' database,Astronomy,Conan Gray,0.471,0.335,4,-8.767,0,0.0273,0.593,2.11e-05,0.297,0.111,145.252,243907,3
enfp songs' database,All The Things She Said,t.A.T.u.,0.603,0.834,5,-5.766,0,0.0417,0.0411,0.00609,0.105,0.376,89.957,214440,4
enfp songs' database,Boys Don't Cry,The Cure,0.462,0.836,11,-5.766,0,0.0621,0.00517,0.0,0.18,0.671,168.766,155973,4
enfp songs' database,Bodys,Car Seat Headrest,0.518,0.843,2,-7.361,1,0.0544,0.00136,0.0119,0.132,0.249,143.903,406935,4
enfp songs' database,100 Bad Days,AJR,0.626,0.639,10,-5.62,1,0.085,0.0465,0.0,0.246,0.638,144.009,210992,4
enfp songs' database,Chop Suey!,System Of A Down,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,210240,4
enfp songs' database,Love Again,Dua Lipa,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,258004,4
enfp songs' database,Counting Stars,OneRepublic,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.118,0.477,122.016,257267,4
enfp songs' database,Queen of Disaster,SirLofi,0.654,0.78,11,-6.082,0,0.0372,0.125,0.0,0.502,0.907,127.994,195814,4
enfp songs' database,Fuck You,Lily Allen,0.775,0.904,1,-4.08,0,0.0437,0.0271,0.000303,0.06,0.84,130.009,219893,4
enfp songs' database,"Happy - From ""Despicable Me 2""",Pharrell Williams,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,232720,4
enfp songs' database,Call Me Maybe,Carly Rae Jepsen,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400,4
