Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
Entp playlist 🛐,My Ordinary Life,The Living Tombstone,0.648,0.827,9,-4.78,0,0.042,0.00533,0.338,0.217,0.598,176.005,230895,4
Entp playlist 🛐,Happy Pills,Weathers,0.521,0.885,4,-4.934,0,0.125,0.00327,0.00904,0.324,0.344,115.985,203080,4
Entp playlist 🛐,Do I Wanna Know?,Arctic Monkeys,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,272394,4
Entp playlist 🛐,all the good girls go to hell,Billie Eilish,0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,168840,4
Entp playlist 🛐,Without Me,Eminem,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,290320,4
Entp playlist 🛐,Bloody Mary,Lady Gaga,0.591,0.637,9,-6.365,0,0.03,0.0107,1.95e-06,0.113,0.432,99.998,244760,4
Entp playlist 🛐,If U Seek Amy,Britney Spears,0.717,0.587,4,-7.296,0,0.0339,0.0192,0.0,0.0523,0.544,129.954,216520,4
Entp playlist 🛐,Teenagers,My Chemical Romance,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647,161920,4
Entp playlist 🛐,Choke,I DONT KNOW HOW BUT THEY FOUND ME,0.516,0.85,4,-3.909,0,0.0706,0.00139,0.0,0.296,0.583,120.324,195717,4
Entp playlist 🛐,Me Too,Meghan Trainor,0.934,0.694,11,-5.849,0,0.101,0.0971,1.2e-06,0.477,0.833,123.831,181240,4
Entp playlist 🛐,I Love You Like An Alcoholic,The Taxpayers,0.61,0.424,4,-6.489,0,0.0311,0.384,0.000148,0.11,0.207,108.416,215933,4
Entp playlist 🛐,ECHO (feat. Gumi) [dj-Jo Remix],Crusher-P,0.669,0.86,3,-4.08,0,0.102,0.00983,0.000764,0.112,0.626,139.966,236571,4
Entp playlist 🛐,しかばねの踊り,Kikuo,0.7,0.834,6,-4.134,0,0.0323,0.259,0.0,0.0545,0.862,134.979,228339,4
Entp playlist 🛐,Everybody Gets High,MISSIO,0.432,0.558,11,-6.843,1,0.286,0.0234,0.000358,0.0924,0.46,58.748,212093,4
Entp playlist 🛐,Judas,Lady Gaga,0.664,0.934,10,-3.848,0,0.0697,0.00108,2.77e-05,0.27,0.53,130.982,249067,4
Entp playlist 🛐,The Real Slim Shady,Eminem,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200,4
Entp playlist 🛐,The Bidding,Tally Hall,0.538,0.607,9,-5.261,0,0.216,0.248,5.54e-06,0.0999,0.515,175.424,160613,4
Entp playlist 🛐,Welcome to The Internet,Bo Burnham,0.665,0.527,2,-8.588,0,0.429,0.663,0.0,0.306,0.219,94.711,275999,3
Entp playlist 🛐,Happy Face,Jagwar Twin,0.419,0.707,9,-6.488,1,0.0499,0.0174,0.0,0.157,0.37,177.551,169760,4
Entp playlist 🛐,Lotta True Crime,Penelope Scott,0.504,0.407,8,-14.462,1,0.21,0.325,0.0645,0.106,0.403,159.089,202320,4
Entp playlist 🛐,Devil's Advocate,The Neighbourhood,0.662,0.681,11,-8.152,0,0.0315,0.0321,0.139,0.508,0.864,98.004,186307,4
Entp playlist 🛐,Mad Hatter,Melanie Martinez,0.568,0.692,8,-4.513,1,0.0589,0.0161,0.0,0.148,0.577,92.023,201520,4
Entp playlist 🛐,R.I.P. Gossip Sea,cosMo@Bousou-P,0.56,0.992,1,-3.266,1,0.0674,0.000164,4.51e-06,0.177,0.733,111.047,219366,4
Entp playlist 🛐,money machine,"100 gecs, Laura Les, Dylan Brady",0.68,0.659,6,-7.186,1,0.151,0.229,0.0,0.474,0.75,98.877,114460,4
Entp playlist 🛐,"Money, Money, Money",ABBA,0.787,0.704,9,-6.873,0,0.0385,0.535,0.00305,0.089,0.646,120.701,186427,4
Entp playlist 🛐,Everybody Loves Me,OneRepublic,0.578,0.907,4,-4.869,1,0.0895,0.0229,0.0,0.557,0.66,170.04,214400,4
Entp playlist 🛐,Need to Know,Doja Cat,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,210560,4
Entp playlist 🛐,My Alcoholic Friends,The Dresden Dolls,0.596,0.679,4,-3.881,0,0.0324,0.18,0.0,0.0938,0.746,110.464,167680,4
Entp playlist 🛐,Toxic,Britney Spears,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,198800,4
