Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
★━ ESFJ Vibes ━★,This Side of Paradise,Coyote Theory,0.306,0.664,9,-6.07,1,0.0276,0.432,7.5e-06,0.135,0.321,158.283,242010,4
★━ ESFJ Vibes ━★,Two Birds,Regina Spektor,0.546,0.5,0,-8.881,1,0.0379,0.802,0.00108,0.107,0.449,150.92,195840,4
★━ ESFJ Vibes ━★,The Call,Regina Spektor,0.58,0.101,10,-15.661,1,0.0289,0.934,0.000302,0.0768,0.302,91.003,187427,3
★━ ESFJ Vibes ━★,Are You Bored Yet? (feat. Clairo),"Wallows, Clairo",0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,178000,4
★━ ESFJ Vibes ━★,Nobody,Mitski,0.398,0.716,0,-5.254,1,0.0392,0.0764,0.0,0.0848,0.494,117.295,193429,4
★━ ESFJ Vibes ━★,Washing Machine Heart,Mitski,0.617,0.821,9,-4.085,1,0.026,0.00999,0.494,0.426,0.581,106.0,128199,4
★━ ESFJ Vibes ━★,we fell in love in october,girl in red,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959,184154,4
★━ ESFJ Vibes ━★,Little Talks,Of Monsters and Men,0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,266600,4
★━ ESFJ Vibes ━★,Play Date,Melanie Martinez,0.68,0.729,5,-5.077,1,0.0475,0.612,0.0,0.224,0.446,123.97,179867,4
★━ ESFJ Vibes ━★,Mrs. Potato Head,Melanie Martinez,0.517,0.622,1,-3.536,0,0.0577,0.174,0.0,0.105,0.463,170.154,217507,4
★━ ESFJ Vibes ━★,Training Wheels,Melanie Martinez,0.571,0.481,9,-7.179,1,0.0444,0.697,0.0,0.089,0.0807,113.753,205680,4
★━ ESFJ Vibes ━★,Talking to the Moon,Bruno Mars,0.498,0.59,1,-4.721,0,0.032,0.511,0.0,0.107,0.0784,145.867,217867,4
★━ ESFJ Vibes ━★,Hymn for the Weekend,Coldplay,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,258267,4
★━ ESFJ Vibes ━★,Duvet,bôa,0.584,0.888,11,-9.411,0,0.0349,0.192,4.23e-05,0.0931,0.672,93.211,203600,4
★━ ESFJ Vibes ━★,Heat Waves,Glass Animals,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4
★━ ESFJ Vibes ━★,Lights Are On,Tom Rosenthal,0.44,0.04,3,-16.887,1,0.0322,0.981,0.465,0.111,0.249,135.965,193749,4
★━ ESFJ Vibes ━★,moment,Vierre Cloud,0.544,0.855,6,-7.461,1,0.093,0.0426,0.157,0.167,0.517,171.349,129543,4
★━ ESFJ Vibes ━★,Happier Than Ever - Edit,Billie Eilish,0.334,0.599,0,-5.742,1,0.0365,0.0468,0.000392,0.205,0.127,161.74,151444,3
★━ ESFJ Vibes ━★,I Love You So,The Walters,0.578,0.669,10,-4.898,1,0.0377,0.65,0.0,0.13,0.503,75.995,160254,4
★━ ESFJ Vibes ━★,Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014,4
★━ ESFJ Vibes ━★,Shake It Off,Taylor Swift,0.647,0.8,7,-5.384,1,0.165,0.0647,0.0,0.334,0.942,160.078,219200,4
★━ ESFJ Vibes ━★,Happier,"Marshmello, Bastille",0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,214290,4
★━ ESFJ Vibes ━★,Dandelions,Ruth B.,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959,233720,3
★━ ESFJ Vibes ━★,You Are Enough,Sleeping At Last,0.593,0.5,1,-8.532,1,0.029,0.707,1.24e-05,0.0837,0.465,117.996,180087,4
★━ ESFJ Vibes ━★,Me and My Husband,Mitski,0.497,0.638,1,-5.31,1,0.0274,0.0467,0.0,0.385,0.77,172.01,137142,4
★━ ESFJ Vibes ━★,Water Fountain,Alec Benjamin,0.723,0.504,8,-5.572,1,0.0392,0.388,7.4e-05,0.087,0.551,133.975,218893,4
★━ ESFJ Vibes ━★,Soap,Melanie Martinez,0.595,0.689,6,-6.107,0,0.148,0.254,5.44e-06,0.129,0.213,168.112,209427,4
★━ ESFJ Vibes ━★,Rolling in the Deep,Adele,0.729,0.756,8,-5.119,1,0.0294,0.131,0.0,0.0527,0.522,104.945,228293,4
★━ ESFJ Vibes ━★,Hey Brother,Avicii,0.545,0.78,7,-4.867,0,0.0436,0.0309,4.64e-05,0.0828,0.458,125.014,255093,4
★━ ESFJ Vibes ━★,I Knew You Were Trouble.,Taylor Swift,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,219720,4
★━ ESFJ Vibes ━★,Can't Remember to Forget You (feat. Rihanna),"Shakira, Rihanna",0.694,0.81,11,-3.556,0,0.0661,0.122,0.0,0.141,0.824,137.968,206867,4
★━ ESFJ Vibes ━★,Somebody To You,The Vamps,0.526,0.818,3,-5.952,1,0.0358,0.0587,0.0,0.333,0.896,171.96,185098,4
★━ ESFJ Vibes ━★,Je te laisserai des mots,Patrick Watson,0.303,0.187,2,-16.757,1,0.0356,0.989,0.489,0.101,0.213,132.731,160853,4
★━ ESFJ Vibes ━★,If We Have Each Other,Alec Benjamin,0.656,0.577,10,-5.566,0,0.0802,0.698,0.0,0.296,0.861,173.094,181522,4
★━ ESFJ Vibes ━★,If I Killed Someone For You,Alec Benjamin,0.514,0.605,7,-5.363,1,0.0337,0.774,2.91e-06,0.121,0.409,120.894,185123,4
★━ ESFJ Vibes ━★,Honeypie,JAWNY,0.742,0.678,5,-4.605,0,0.192,0.0698,0.0,0.151,0.927,115.05,135521,4
★━ ESFJ Vibes ━★,Sweater Weather,The Neighbourhood,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,4
★━ ESFJ Vibes ━★,Hey Lover!,Wabie,0.586,0.744,4,-10.142,1,0.0508,0.00614,0.000172,0.372,0.523,117.006,162560,4
★━ ESFJ Vibes ━★,Afraid,The Neighbourhood,0.464,0.701,6,-5.693,0,0.0411,0.00892,0.309,0.335,0.356,83.996,251187,4
★━ ESFJ Vibes ━★,Circles,Post Malone,0.704,0.758,0,-3.537,1,0.0402,0.233,0.00144,0.0924,0.534,120.003,214907,4
★━ ESFJ Vibes ━★,Greek God,Conan Gray,0.572,0.82,6,-6.4,0,0.0764,0.157,7.21e-06,0.109,0.144,139.003,236747,4
★━ ESFJ Vibes ━★,Let's Groove,"Earth, Wind & Fire",0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,339320,4
★━ ESFJ Vibes ━★,Viva La Vida,Coldplay,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373,4
★━ ESFJ Vibes ━★,Comfort Chain,Instupendo,0.83,0.251,4,-19.774,1,0.0779,0.98,0.893,0.195,0.164,109.999,184364,4
★━ ESFJ Vibes ━★,human,Christina Perri,0.439,0.489,8,-6.286,1,0.0368,0.132,0.000643,0.114,0.253,143.808,250707,4
★━ ESFJ Vibes ━★,2002,Anne-Marie,0.697,0.683,1,-2.881,0,0.117,0.0372,0.0,0.137,0.603,96.133,186987,4
★━ ESFJ Vibes ━★,Bored,Billie Eilish,0.612,0.318,7,-12.695,1,0.0478,0.898,0.00239,0.0795,0.112,119.968,180933,4
★━ ESFJ Vibes ━★,Fourth of July,Sufjan Stevens,0.435,0.104,6,-22.39,0,0.0445,0.973,0.33,0.119,0.162,120.484,279316,4
★━ ESFJ Vibes ━★,Surface Pressure,Jessica Darrow,0.65,0.584,2,-8.286,1,0.307,0.0174,1.54e-06,0.042,0.37,180.088,202227,4
★━ ESFJ Vibes ━★,Valley of the Dolls,MARINA,0.552,0.669,1,-6.161,1,0.0269,0.000314,0.0,0.113,0.26,119.98,253787,4
infj-esfj,Nothing,Bruno Major,0.555,0.27,2,-15.892,1,0.0884,0.931,0.536,0.103,0.274,139.691,162797,3
infj-esfj,invisible string,Taylor Swift,0.653,0.452,4,-11.143,0,0.055,0.838,7.73e-05,0.108,0.45,83.433,252881,4
infj-esfj,Mari Bercerita,"Payung Teduh, Ichamalia",0.319,0.282,9,-10.172,1,0.0292,0.862,0.00158,0.147,0.23,81.814,301717,4
infj-esfj,Berpayung Tuhan,Nadin Amizah,0.636,0.235,10,-12.976,1,0.0299,0.93,0.00135,0.0853,0.319,119.956,297750,3
infj-esfj,Dalam Diam,Sal Priadi,0.411,0.612,4,-6.934,1,0.0352,0.345,0.000289,0.106,0.344,115.079,393000,4
infj-esfj,Amtrak,Los Retros,0.438,0.703,7,-7.069,1,0.0265,0.493,0.000979,0.0866,0.645,175.881,176751,4
infj-esfj,Fearless (Taylor’s Version),Taylor Swift,0.569,0.741,5,-4.963,1,0.0282,0.0122,0.0,0.333,0.43,100.118,241592,4
infj-esfj,perayaan mati rasa,"Umay Shahab, Natania Karin",0.36,0.318,3,-11.351,1,0.0306,0.874,0.00023,0.136,0.33,147.242,285811,4
infj-esfj,penjaga hati,Nadhif Basalamah,0.509,0.359,2,-8.993,1,0.0279,0.879,0.0289,0.19,0.329,155.799,260346,4
infj-esfj,Amin Paling Serius,"Sal Priadi, Nadin Amizah",0.361,0.255,7,-9.917,1,0.0306,0.969,0.00347,0.112,0.22,129.968,303800,4
infj-esfj,Satu-Satu,Idgitaf,0.378,0.517,4,-5.584,1,0.0639,0.652,0.0,0.0898,0.512,199.811,285072,4
infj-esfj,Mesra-mesraannya kecil-kecilan dulu,Sal Priadi,0.361,0.344,2,-12.793,1,0.0401,0.785,0.239,0.234,0.306,175.138,209720,4
infj-esfj,Cincin,Hindia,0.531,0.882,4,-4.205,0,0.0559,0.00445,0.0,0.621,0.476,155.024,266330,4
infj-esfj,Taruh,Nadin Amizah,0.349,0.244,11,-13.163,1,0.0462,0.979,0.000909,0.0924,0.547,89.98,249892,4
infj-esfj,Tanpa Rasa Bersalah,Fabio Asher,0.597,0.317,5,-12.499,1,0.0314,0.736,0.0,0.16,0.177,120.101,277000,4
infj-esfj,Wings,"So!YoON!, Phum Viphurit",0.66,0.488,6,-8.188,1,0.025,0.172,0.0,0.065,0.543,100.024,195573,4
infj-esfj,Kita usahakan rumah itu,Sal Priadi,0.711,0.321,7,-12.652,1,0.0305,0.802,0.497,0.102,0.302,95.02,211244,4
infj-esfj,Pelangi Cinta,"Diskoria, Afifah Yusuf",0.661,0.607,5,-8.831,1,0.0254,0.125,4.61e-05,0.0868,0.89,108.003,321621,4
infj-esfj,Kembali Pulang,"Suara Kayu, Feby Putri",0.559,0.236,1,-10.619,1,0.0282,0.95,0.00673,0.105,0.33,141.977,207899,3
infj-esfj,Bertahan Terluka,Fabio Asher,0.325,0.345,5,-9.536,1,0.0311,0.495,0.0,0.0726,0.135,77.835,240760,4
infj-esfj,I Still Love You,TheOvertunes,0.446,0.159,1,-12.129,1,0.0376,0.906,5.24e-06,0.11,0.172,119.93,286314,4
infj-esfj,Kota,Dere,0.646,0.281,4,-9.3,1,0.0278,0.573,0.0,0.102,0.162,134.88,198107,4
infj-esfj,Velvet,"Kurosuke, Kittendust",0.679,0.438,5,-9.457,1,0.0247,0.0723,0.000116,0.106,0.634,92.018,242609,4
infj-esfj,Pergi Untuk Kembali,Marcello Tahitoe,0.739,0.433,0,-7.986,1,0.154,0.433,9.1e-05,0.0744,0.355,141.955,267600,4
infj-esfj,Sleep Well,d4vd,0.358,0.363,8,-10.559,1,0.034,0.786,7.04e-06,0.142,0.173,151.15,175875,3
infj-esfj,Untuk Perempuan Yang Sedang Di Pelukan,Payung Teduh,0.477,0.493,9,-7.346,1,0.0291,0.552,0.00345,0.102,0.463,148.984,342000,4
infj-esfj,Perahu Kertas,Maudy Ayunda,0.373,0.367,9,-8.075,0,0.0277,0.405,0.0,0.119,0.165,77.285,234387,4
infj-esfj,Mencintaimu,Sal Priadi,0.247,0.272,10,-10.379,1,0.0319,0.972,0.413,0.105,0.198,142.393,274041,4
infj-esfj,Aku Milikmu,Dewa 19,0.477,0.688,9,-8.043,1,0.0351,0.668,0.000167,0.11,0.228,135.098,332733,4
infj-esfj,Supermoon,Summer Salt,0.641,0.735,0,-9.368,1,0.033,0.328,0.069,0.155,0.604,105.925,252107,4
infj-esfj,Akad,Payung Teduh,0.502,0.708,9,-7.522,1,0.0771,0.316,0.0391,0.112,0.774,91.533,258281,4
infj-esfj,Satu-Satunya,Hivi!,0.68,0.652,7,-6.851,1,0.0366,0.0222,2.72e-05,0.286,0.858,124.948,295700,4
infj-esfj,Aduh,MALIQ & D'Essentials,0.724,0.334,5,-10.136,0,0.233,0.749,0.000482,0.106,0.703,80.012,196897,4
infj-esfj,Lampu Merah,The Lantis,0.617,0.706,5,-6.304,1,0.0288,0.0701,1.41e-05,0.419,0.51,115.022,298000,4
infj-esfj,Mungkin Takut Perubahan,Lomba Sihir,0.616,0.709,0,-7.917,1,0.0291,0.00576,0.368,0.0878,0.685,80.029,188560,4
infj-esfj,Cahaya,Feby Putri,0.485,0.319,3,-11.787,1,0.0325,0.935,0.000132,0.0929,0.204,106.26,236750,4
infj-esfj,Separuh Nafas,Dewa 19,0.567,0.944,5,-6.074,1,0.0417,0.00393,0.000606,0.0705,0.964,100.027,222029,4
infj-esfj,Nanti Kita Seperti Ini,Batas Senja,0.532,0.428,0,-7.255,1,0.0252,0.291,0.000233,0.0972,0.404,84.824,209647,4
infj-esfj,"Dia Masa Lalumu, Aku Masa Depanmu",Vionita,0.48,0.418,7,-6.168,1,0.0313,0.609,1.6e-05,0.148,0.207,125.513,242000,4
infj-esfj,Angin Pujaan Hujan,Payung Teduh,0.632,0.694,4,-6.649,1,0.0274,0.657,0.000121,0.101,0.679,97.906,212250,4
infj-esfj,Lara,Dialog Senja,0.463,0.242,2,-8.483,1,0.0367,0.873,0.00779,0.122,0.131,125.049,326899,3
infj-esfj,Kemanakah Cinta,Tatjana Saphira,0.623,0.673,7,-8.912,0,0.0336,0.276,6.2e-06,0.106,0.606,104.019,248448,4
infj-esfj,Sempurna - Acoustic Instrumental,Killercats,0.573,0.0939,4,-24.334,1,0.0678,0.894,0.922,0.0921,0.246,96.053,269909,4
infj-esfj,Line Without a Hook,Ricky Montgomery,0.432,0.652,8,-4.969,1,0.0285,0.262,0.0,0.258,0.507,190.028,249587,3
infj-esfj,Tampar,Juicy Luicy,0.459,0.377,6,-9.024,1,0.0314,0.652,0.0,0.0947,0.433,169.896,202825,4
infj-esfj,Tanpa Tergesa,Juicy Luicy,0.703,0.291,11,-7.109,1,0.0277,0.303,0.0,0.113,0.449,96.058,218406,4
infj-esfj,Love Never Felt So Good,"Michael Jackson, Justin Timberlake",0.775,0.719,7,-6.212,0,0.0435,0.132,1.79e-06,0.0662,0.712,117.513,246027,4
