,Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
0,esfp vibes,Can't Be Tamed,Miley Cyrus,0.63,0.91,11,-2.919,0,0.144,0.0287,0.0,0.196,0.743,116.98,168213,4
1,esfp vibes,Sexy Bitch (feat. Akon),"David Guetta, Akon",0.813,0.627,11,-5.018,0,0.0486,0.0771,0.000616,0.131,0.801,130.011,195853,4
2,esfp vibes,God is a woman,Ariana Grande,0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,197547,4
3,esfp vibes,Oops!...I Did It Again,Britney Spears,0.755,0.832,11,-4.869,1,0.0462,0.317,1.9e-05,0.219,0.888,95.044,210853,4
4,esfp vibes,How to Be a Heartbreaker,MARINA,0.69,0.897,11,-4.696,0,0.0506,0.0142,0.0,0.108,0.849,140.05,221493,4
5,esfp vibes,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,292613,4
6,esfp vibes,Bad Romance,Lady Gaga,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,294573,4
7,esfp vibes,Crazy In Love (feat. Jay-Z),"Beyoncé, JAY-Z",0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,236133,4
8,esfp vibes,Umbrella,"Rihanna, JAY-Z",0.581,0.827,1,-4.566,1,0.141,0.0101,0.0,0.0522,0.549,174.013,275987,4
9,esfp vibes,Primadonna,MARINA,0.66,0.689,4,-2.671,0,0.0337,0.0884,0.0,0.0922,0.427,127.98,221075,4
10,esfp vibes,Born This Way,Lady Gaga,0.586,0.827,11,-5.106,1,0.147,0.00371,0.0,0.325,0.496,123.934,260253,4
11,esfp vibes,California Gurls,"Katy Perry, Snoop Dogg",0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014,234653,4
12,esfp vibes,Heart Attack,Demi Lovato,0.504,0.785,8,-4.802,1,0.104,0.0738,0.0,0.239,0.502,173.968,210840,4
13,esfp vibes,TiK ToK,Kesha,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,199693,4
14,esfp vibes,Man Down,Rihanna,0.47,0.904,0,-4.024,0,0.177,0.0436,0.0,0.0491,0.557,155.788,267000,4
15,esfp vibes,Nobody's Perfect - From “Hannah Montana 2”,Hannah Montana,0.594,0.977,8,-4.193,1,0.0646,0.0597,3.49e-06,0.309,0.793,131.976,200827,4
16,esfp vibes,I'm a Mess,Bebe Rexha,0.63,0.694,11,-6.257,0,0.0253,0.00281,0.0,0.0719,0.216,97.005,195519,4
17,esfp vibes,We Found Love,"Rihanna, Calvin Harris",0.735,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.985,215227,4
18,esfp vibes,Don't Stop The Music,Rihanna,0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,267080,4
19,esfp vibes,Bitch I'm Madonna,"Madonna, Nicki Minaj",0.724,0.611,3,-5.704,0,0.163,0.0498,0.000228,0.179,0.562,150.04,227480,4
20,esfp vibes,Kill Em With Kindness,Selena Gomez,0.757,0.884,10,-5.488,0,0.0404,0.00795,5.87e-05,0.0973,0.398,120.012,217907,4
21,esfp vibes,Dangerous Woman,Ariana Grande,0.662,0.618,7,-5.26,1,0.0455,0.0537,0.0,0.355,0.261,134.022,235947,3
22,esfp vibes,7 rings,Ariana Grande,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,178627,4
