,Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
0,ESTP PLAYLIST,MAMMAMIA,Måneskin,0.767,0.678,1,-3.284,0,0.0686,0.000615,0.0,0.0952,0.791,142.06,186809,4
1,ESTP PLAYLIST,Oxytocin,Billie Eilish,0.757,0.598,11,-7.777,1,0.058,0.0904,0.551,0.15,0.18,124.951,210233,4
2,ESTP PLAYLIST,Cpr,cupcakKe,0.814,0.754,7,-7.571,1,0.113,0.0347,0.00105,0.115,0.534,103.028,208464,4
3,ESTP PLAYLIST,Rules,Doja Cat,0.651,0.724,7,-5.457,1,0.166,0.172,0.0,0.13,0.686,144.146,187040,4
4,ESTP PLAYLIST,Girls,MARINA,0.661,0.867,9,-5.099,0,0.0273,0.0272,2.08e-06,0.0222,0.934,113.996,208760,4
5,ESTP PLAYLIST,Tia Tamera (feat. Rico Nasty),"Doja Cat, Rico Nasty",0.822,0.654,0,-4.623,1,0.132,0.019,0.0,0.233,0.421,119.884,211013,4
6,ESTP PLAYLIST,Smack A Bitch,Rico Nasty,0.705,0.699,2,-2.412,1,0.226,0.00544,0.0,0.115,0.333,169.874,138353,4
7,ESTP PLAYLIST,Dangerous Woman,Ariana Grande,0.662,0.602,4,-5.369,0,0.0401,0.0529,0.0,0.356,0.29,133.969,235947,3
8,ESTP PLAYLIST,Animals,Maroon 5,0.279,0.742,4,-6.46,0,0.0898,0.000185,0.0,0.593,0.328,189.868,231013,4
9,ESTP PLAYLIST,Yummy,Ayesha Erotica,0.712,0.806,11,-7.865,1,0.362,0.00402,0.000736,0.655,0.451,98.99,148653,4
10,ESTP PLAYLIST,My Shot,"Lin-Manuel Miranda, Daveed Diggs, Okieriete Onaodowan, Leslie Odom Jr., Original Broadway Cast of Hamilton, Anthony Ramos",0.698,0.649,8,-6.764,1,0.415,0.15,0.0,0.0903,0.568,180.466,333154,4
11,ESTP PLAYLIST,Black Sheep,Metric,0.509,0.646,11,-6.285,0,0.0365,0.00028,0.00468,0.0973,0.142,124.014,297460,4
12,ESTP PLAYLIST,bloodline,Ariana Grande,0.758,0.665,2,-5.188,0,0.0774,0.0815,0.000157,0.216,0.643,151.976,216893,4
13,ESTP PLAYLIST,My Trains,Lemon Demon,0.749,0.57,4,-12.084,1,0.0545,0.000418,2.88e-05,0.0705,0.804,110.031,244373,4
14,ESTP PLAYLIST,Mother's Daughter,Miley Cyrus,0.681,0.865,1,-4.132,0,0.0594,0.00464,0.00169,0.149,0.528,91.017,219080,4
15,ESTP PLAYLIST,She's So Nice,Pink Guy,0.828,0.577,6,-7.656,0,0.158,0.599,0.0,0.0814,0.587,86.339,163493,4
16,ESTP PLAYLIST,Electricity,Arctic Monkeys,0.387,0.919,4,-6.585,0,0.0454,4.99e-05,0.578,0.293,0.483,149.993,181537,4
17,ESTP PLAYLIST,Death of a Bachelor,Panic! At The Disco,0.462,0.538,0,-5.527,1,0.059,0.0137,0.0,0.429,0.405,139.256,203507,4
18,ESTP PLAYLIST,Giver,K.Flay,0.493,0.606,5,-4.437,0,0.0401,0.0042,0.0104,0.0679,0.573,175.896,214147,4
19,ESTP PLAYLIST,Touch You,"遠野高志, 加島優, 矢口恭介, ジミー, 百合絢斗, 田村唯, 明美圭一, 糸目幸士郎, 鹿谷樹",0.603,0.964,8,-2.886,0,0.0487,0.00655,3.04e-06,0.143,0.796,135.028,206180,4
20,ESTP PLAYLIST,Old Town Road,Lil Nas X,0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998,113000,4
21,ESTP PLAYLIST,Venom - Music From The Motion Picture,Eminem,0.75,0.789,0,-5.058,1,0.0647,0.0148,0.0,0.501,0.467,135.954,269573,4
22,ESTP PLAYLIST,Die Young,Kesha,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,211920,4
23,ESTP PLAYLIST,Look At Me!,XXXTENTACION,0.763,0.726,1,-6.405,1,0.282,0.259,0.0,0.0976,0.349,139.059,126346,4
24,ESTP PLAYLIST,Two Trucks,Lemon Demon,0.758,0.391,9,-12.676,0,0.0453,0.0529,0.000867,0.106,0.895,114.006,247220,4
25,ESTP PLAYLIST,Truth Hurts,Lizzo,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,173325,4
26,ESTP PLAYLIST,Literal Legend,Ayesha Erotica,0.633,0.81,7,-4.071,1,0.258,0.0157,2.65e-05,0.0834,0.822,136.917,166069,4
27,ESTP PLAYLIST,Chop,Vundabar,0.424,0.776,1,-4.639,1,0.0365,0.472,0.308,0.309,0.475,80.469,169160,4
28,ESTP PLAYLIST,Blow,Kesha,0.753,0.729,11,-3.862,0,0.0392,0.00334,5.66e-05,0.073,0.812,120.013,219973,4
29,ESTP PLAYLIST,Reminder,The Weeknd,0.706,0.505,8,-6.923,1,0.193,0.142,0.0,0.164,0.388,160.053,218880,4
30,ESTP PLAYLIST,BOOMBAYAH,BLACKPINK,0.661,0.836,5,-3.164,0,0.059,0.00268,0.0,0.497,0.396,124.952,240793,4
31,ESTP PLAYLIST,Team,Mag.Lo,0.733,0.93,11,-5.772,1,0.139,0.175,0.0133,0.0662,0.691,139.927,126062,4
32,ESTP PLAYLIST,TRRST,"IC3PEAK, ZillaKami",0.597,0.529,0,-9.207,1,0.0865,0.396,4.59e-05,0.372,0.146,134.825,184000,4
33,ESTP PLAYLIST,Яд,IC3PEAK,0.588,0.718,11,-3.649,1,0.0307,0.0154,0.476,0.115,0.209,161.031,178000,4
34,ESTP PLAYLIST,Dirty Mind,3OH!3,0.642,0.861,4,-3.837,1,0.294,0.0318,0.0,0.23,0.582,92.912,197602,4
35,ESTP PLAYLIST,Fuck,Oliver Tree,0.826,0.486,2,-8.237,1,0.232,0.0127,1.96e-05,0.259,0.105,129.979,154682,4
36,ESTP PLAYLIST,"Hey Look Ma, I Made It",Panic! At The Disco,0.577,0.833,5,-3.337,1,0.0695,0.0137,0.0,0.121,0.58,107.936,169667,4
37,ESTP PLAYLIST,A Party Song (The Walk of Shame),All Time Low,0.548,0.958,3,-2.981,1,0.0411,0.014,0.0,0.122,0.608,98.982,179173,4
38,ESTP PLAYLIST,Hurricane,Panic! At The Disco,0.515,0.869,11,-4.381,0,0.109,0.00393,0.0,0.434,0.336,122.748,265333,4
39,ESTP PLAYLIST,Mask - Sus Remix,--,0.611,0.713,1,-5.824,1,0.091,0.637,0.0,0.11,0.757,118.002,173552,4
40,ESTP PLAYLIST,Body Language,Doja Cat,0.717,0.468,8,-7.077,1,0.0525,0.277,0.0,0.112,0.691,96.47,245240,4
41,ESTP PLAYLIST,Shine,Doja Cat,0.559,0.63,11,-6.075,0,0.246,0.421,0.0,0.102,0.289,107.627,160133,5
42,ESTP PLAYLIST,Pretty Boy,TV Girl,0.706,0.382,9,-7.292,1,0.0312,0.453,9.49e-05,0.221,0.38,107.777,166000,4
43,ESTP PLAYLIST,Bad Girls,M.I.A.,0.639,0.912,1,-2.621,1,0.0615,0.00107,0.0,0.097,0.343,143.448,227520,4
44,ESTP PLAYLIST,Wish You'd Make Me Cry,UPSAHL,0.57,0.689,11,-5.24,0,0.0355,0.016,0.0,0.148,0.531,96.975,184720,4
45,ESTP PLAYLIST,Ascension (feat. Vince Staples),"Gorillaz, Vince Staples",0.676,0.905,1,-2.569,1,0.147,0.594,0.0,0.154,0.519,152.186,155973,4
46,ESTP PLAYLIST,Out the Ox,Jack Stauber's Micropop,0.701,0.677,4,-6.403,1,0.104,0.186,0.0128,0.592,0.823,129.991,209029,4
47,ESTP PLAYLIST,Poplar St,Glass Animals,0.575,0.446,4,-7.802,0,0.0296,0.247,0.00567,0.137,0.259,68.985,262540,4
48,ESTP PLAYLIST,Super Bass,Nicki Minaj,0.723,0.86,11,-4.357,1,0.203,0.271,4.56e-06,0.598,0.667,126.979,200013,4
49,ESTP PLAYLIST,Anaconda,Nicki Minaj,0.964,0.605,9,-6.223,1,0.179,0.0668,7.78e-06,0.214,0.646,129.994,260240,4
50,ESTP PLAYLIST,Boss Bitch,Doja Cat,0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,134240,4
51,ESTP PLAYLIST,stupid horse,"100 gecs, Laura Les, Dylan Brady",0.526,0.902,3,-4.876,1,0.314,0.0529,0.0,0.531,0.797,168.188,121682,4
52,ESTP PLAYLIST,Last Night,Ricky Montgomery,0.54,0.955,4,-3.723,1,0.0767,0.000541,0.0,0.379,0.808,138.034,243853,4
53,ESTP PLAYLIST,Close to the Top,Måneskin,0.659,0.945,11,-1.55,0,0.107,0.00966,0.0,0.203,0.868,143.996,138267,4
54,ESTP PLAYLIST,Stay Fly,Three 6 Mafia,0.789,0.881,11,-5.758,1,0.0331,0.109,0.0,0.355,0.647,133.299,236600,4
55,ESTP PLAYLIST,Hayloft,Mother Mother,0.527,0.922,9,-2.666,0,0.0728,0.00475,0.000162,0.422,0.49,95.975,181680,4
56,ESTP PLAYLIST,Snap Out Of It,Arctic Monkeys,0.728,0.638,5,-6.455,0,0.0336,0.249,0.0,0.116,0.872,130.014,193030,4
57,ESTP PLAYLIST,The Bidding,Tally Hall,0.538,0.607,9,-5.261,0,0.216,0.248,5.54e-06,0.0999,0.515,175.424,160613,4
58,ESTP PLAYLIST,Without Me,Eminem,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,290320,4
59,ESTP PLAYLIST,Les,Childish Gambino,0.524,0.674,1,-7.038,0,0.0895,0.00654,9.3e-05,0.221,0.128,102.901,317293,4
60,ESTP PLAYLIST,Supermassive Black Hole,Muse,0.668,0.921,7,-3.727,1,0.0439,0.0492,0.00517,0.0877,0.782,120.0,212440,4
61,ESTP PLAYLIST,British Bombs,Declan McKenna,0.674,0.865,6,-6.167,1,0.0412,0.0462,0.0,0.381,0.694,131.975,297715,4
62,ESTP PLAYLIST,R U Mine?,Arctic Monkeys,0.288,0.758,6,-5.692,0,0.0371,0.00616,0.0,0.303,0.619,97.094,201726,4
63,ESTP PLAYLIST,Teddy Picker,Arctic Monkeys,0.637,0.963,9,-5.116,1,0.0882,0.000286,0.000889,0.0449,0.823,150.1,165000,4
64,ESTP PLAYLIST,House of Memories,Panic! At The Disco,0.506,0.817,11,-5.051,0,0.0335,0.00272,0.0,0.0486,0.506,109.952,208707,4
65,ESTP PLAYLIST,Do It All The Time,I DONT KNOW HOW BUT THEY FOUND ME,0.795,0.597,11,-6.395,0,0.0327,0.106,0.0,0.113,0.849,110.014,167803,4
66,ESTP PLAYLIST,The Real Slim Shady,Eminem,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200,4
67,ESTP PLAYLIST,Teenagers,My Chemical Romance,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647,161920,4
68,ESTP PLAYLIST,you should see me in a crown,Billie Eilish,0.678,0.533,4,-10.485,1,0.186,0.462,0.219,0.139,0.323,150.455,180953,4
69,ESTP PLAYLIST,money machine,"100 gecs, Laura Les, Dylan Brady",0.68,0.659,6,-7.186,1,0.151,0.229,0.0,0.474,0.75,98.877,114460,4
70,ESTP PLAYLIST,Grilling Niggas,cupcakKe,0.867,0.69,1,-5.129,1,0.197,0.147,0.0,0.562,0.25,150.0,175152,4
71,ESTP PLAYLIST,Liquid Smooth,Mitski,0.356,0.342,7,-9.469,0,0.0383,0.837,0.0,0.136,0.116,113.52,169773,3
72,estp female,Carmen,Lana Del Rey,0.524,0.427,1,-9.57,0,0.0297,0.098,0.000273,0.129,0.0379,100.024,248720,4
73,estp female,Cry For Help,MAYCE,0.544,0.493,0,-5.488,1,0.305,0.248,0.0,0.102,0.312,131.261,197048,4
74,estp female,Sexual,"NEIKED, Dyo",0.797,0.567,2,-7.503,1,0.0651,0.0692,0.0,0.0705,0.843,108.024,188889,4
