Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
POV: You're an INFP,Mr. Loverman,Ricky Montgomery,0.639,0.526,0,-6.697,1,0.0256,0.245,2.43e-05,0.25,0.488,130.033,216880,3
POV: You're an INFP,Line Without a Hook,Ricky Montgomery,0.432,0.652,8,-4.969,1,0.0285,0.262,0.0,0.258,0.507,190.028,249587,3
POV: You're an INFP,Cloud 9,Beach Bunny,0.637,0.929,4,-3.593,1,0.0491,0.00167,2.62e-05,0.344,0.902,80.974,147351,4
POV: You're an INFP,Heather,Conan Gray,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,198040,3
POV: You're an INFP,Misery Fell,Tally Hall,0.666,0.407,8,-7.942,1,0.0435,0.19,0.0,0.0937,0.566,130.965,214827,4
POV: You're an INFP,This December,Ricky Montgomery,0.659,0.873,9,-4.873,1,0.0504,0.0253,0.0,0.132,0.891,139.946,181920,4
POV: You're an INFP,Devil Town,Cavetown,0.576,0.759,3,-8.165,1,0.0599,0.12,0.0,0.121,0.501,99.969,179955,4
POV: You're an INFP,Juliet,Cavetown,0.546,0.586,6,-8.488,1,0.0313,0.00346,0.00114,0.0562,0.364,131.778,278991,4
POV: You're an INFP,This Is Home,Cavetown,0.811,0.266,7,-12.478,1,0.0406,0.56,1.05e-06,0.0962,0.211,130.044,226073,4
POV: You're an INFP,Boys Will Be Bugs,Cavetown,0.486,0.528,1,-11.722,1,0.0463,0.00387,1.4e-05,0.106,0.452,178.519,329050,4
POV: You're an INFP,Lemon Boy,Cavetown,0.509,0.478,4,-10.051,1,0.0392,0.185,1.4e-06,0.0891,0.323,139.926,272903,4
POV: You're an INFP,Your New Boyfriend,Wilbur Soot,0.546,0.453,7,-13.04,1,0.121,0.382,3.9e-05,0.106,0.74,104.532,239667,4
POV: You're an INFP,Soap,Melanie Martinez,0.595,0.689,6,-6.107,0,0.148,0.254,5.44e-06,0.129,0.213,168.112,209427,4
POV: You're an INFP,Burning Pile,Mother Mother,0.516,0.755,5,-3.724,1,0.0383,0.0633,0.00103,0.107,0.165,140.099,262173,4
POV: You're an INFP,Love Like You (End Credits),"Steven Universe, Rebecca Sugar",0.641,0.242,0,-10.102,0,0.0304,0.879,0.0,0.15,0.294,118.391,143630,3
POV: You're an INFP,summer depression,girl in red,0.691,0.306,9,-15.651,1,0.0544,0.632,0.479,0.108,0.62,129.929,151693,4
POV: You're an INFP,homies,Egg,0.401,0.0952,10,-19.743,1,0.0609,0.972,0.00571,0.105,0.274,76.604,141176,3
POV: You're an INFP,I Can't Handle Change,Roar,0.247,0.438,5,-8.478,1,0.0358,0.0447,0.000867,0.111,0.39,185.711,198213,3
POV: You're an INFP,Tout le monde en même temps,Louis-Jean Cormier,0.408,0.878,4,-5.625,0,0.0456,0.000714,4.33e-05,0.743,0.526,90.037,255107,4
POV: You're an INFP,Interlude: I'm Not Angry Anymore,Paramore,0.469,0.309,7,-13.694,1,0.091,0.965,0.0,0.115,0.235,112.412,52600,4
POV: You're an INFP,Dream Boy,Beach Bunny,0.677,0.888,7,-3.435,1,0.0298,0.00369,0.000854,0.144,0.538,126.013,141396,4
POV: You're an INFP,Grass Eater,The Mellowells,0.622,0.785,7,-7.018,1,0.03,0.134,3.94e-05,0.108,0.747,111.977,228680,4
POV: You're an INFP,The Less I Know The Better,Tame Impala,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,216320,4
