Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
pov: you’re an intj ,"Genius (feat. Sia, Diplo, and Labrinth)","Sia, Diplo, Labrinth, LSD",0.603,0.615,11,-4.931,0,0.165,0.0799,6.72e-05,0.117,0.561,158.657,213707,4
pov: you’re an intj ,Arabella,Arctic Monkeys,0.579,0.558,2,-6.986,1,0.0895,0.0202,1.26e-06,0.212,0.506,179.949,207357,4
pov: you’re an intj ,Pumped Up Kicks,Foster The People,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4
pov: you’re an intj ,Burning Pile,Mother Mother,0.516,0.755,5,-3.724,1,0.0383,0.0633,0.00103,0.107,0.165,140.099,262173,4
pov: you’re an intj ,Movement,Hozier,0.381,0.502,1,-5.505,0,0.0368,0.16,6.98e-05,0.0842,0.147,144.3,237800,4
pov: you’re an intj ,Verbatim,Mother Mother,0.827,0.58,7,-6.809,1,0.327,0.309,0.0,0.148,0.492,78.011,168320,4
pov: you’re an intj ,Therefore I Am,Billie Eilish,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,174321,4
pov: you’re an intj ,Michelle,Sir Chloe,0.366,0.439,4,-5.238,1,0.0298,0.0781,1.92e-05,0.108,0.11,115.94,214088,3
pov: you’re an intj ,Birthday Suit,Cosmo Sheldrake,0.739,0.575,8,-8.109,1,0.22,0.828,7.35e-05,0.121,0.532,62.474,80407,4
pov: you’re an intj ,Smells Like Teen Spirit,Nirvana,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920,4
pov: you’re an intj ,Nobody,Mitski,0.398,0.716,0,-5.254,1,0.0392,0.0764,0.0,0.0848,0.494,117.295,193429,4
pov: you’re an intj ,PRIDE.,Kendrick Lamar,0.665,0.535,4,-7.056,0,0.0572,0.0786,1.68e-05,0.154,0.37,138.842,275253,4
pov: you’re an intj ,Don’t Blame Me,Taylor Swift,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,236413,4
pov: you’re an intj ,do re mi,blackbear,0.745,0.593,8,-6.35,1,0.0526,0.00522,5.25e-06,0.123,0.17,111.002,212027,3
pov: you’re an intj ,Without Me,Eminem,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,290320,4
pov: you’re an intj ,My Name Is,Eminem,0.869,0.68,1,-6.233,1,0.318,0.0416,1.12e-06,0.0914,0.815,85.519,268400,4
pov: you’re an intj ,Afraid,The Neighbourhood,0.464,0.701,6,-5.693,0,0.0411,0.00892,0.309,0.335,0.356,83.996,251187,4
pov: you’re an intj ,I Did Something Bad,Taylor Swift,0.696,0.602,0,-6.156,0,0.159,0.0679,2.11e-05,0.0696,0.305,82.989,238253,4
pov: you’re an intj ,HUMBLE.,Kendrick Lamar,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000,4
pov: you’re an intj ,Money Power Glory,Lana Del Rey,0.349,0.525,8,-6.829,0,0.0451,0.583,0.0,0.35,0.288,136.762,270680,5
pov: you’re an intj ,Promiscuous,"Nelly Furtado, Timbaland",0.795,0.978,10,-6.097,0,0.0459,0.046,8.29e-05,0.143,0.843,114.321,242200,4
pov: you’re an intj ,Bubblegum Bitch,MARINA,0.495,0.856,0,-5.123,0,0.0311,0.000219,0.0,0.103,0.609,158.024,154667,4
pov: you’re an intj ,505,Arctic Monkeys,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,253587,4
pov: you’re an intj ,Cherry Bomb,The Runaways,0.501,0.813,11,-8.192,1,0.0639,0.0455,4.75e-05,0.131,0.495,136.59,138707,4
pov: you’re an intj ,"Independent Women, Pt. 1",Destiny's Child,0.73,0.602,6,-3.782,0,0.206,0.362,3.69e-06,0.169,0.927,97.954,221133,4
pov: you’re an intj ,You Don't Own Me,Lesley Gore,0.473,0.434,2,-10.02,1,0.0257,0.701,0.0,0.628,0.711,94.814,150000,3
pov: you’re an intj ,Cold Cold Cold,Cage The Elephant,0.549,0.789,5,-6.071,1,0.0313,0.0178,6.7e-05,0.059,0.715,136.125,214387,4
pov: you’re an intj ,Supermassive Black Hole,Muse,0.668,0.921,7,-3.727,1,0.0439,0.0492,0.00517,0.0877,0.782,120.0,212440,4
pov: you’re an intj ,Sweater Weather,The Neighbourhood,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,4
pov: you’re an intj ,Sweet Dreams (Are Made of This) - Remastered,"Eurythmics, Annie Lennox, Dave Stewart",0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,216933,4
pov: you’re an intj ,Kiwi,Harry Styles,0.375,0.93,2,-2.631,1,0.0561,0.00064,0.0,0.318,0.491,147.124,176387,4
pov: you’re an intj ,Skyfall,Adele,0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881,286482,4
pov: you’re an intj ,"Money, Money, Money",ABBA,0.756,0.741,9,-6.426,0,0.0364,0.43,0.00113,0.0807,0.691,120.445,186787,4
pov: you’re an intj ,Young And Beautiful,Lana Del Rey,0.324,0.416,11,-8.92,0,0.0368,0.262,3.69e-05,0.11,0.151,113.986,236053,4
pov: you’re an intj ,Little Dark Age,MGMT,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,299960,4
pov: you’re an intj ,Killer Queen,Queen,0.538,0.671,10,-5.721,1,0.0541,0.383,0.0,0.0792,0.624,117.241,180453,4
pov: you’re an intj ,Rhinestone Eyes,Gorillaz,0.676,0.703,8,-5.815,0,0.0302,0.0869,0.000687,0.0463,0.852,92.761,200173,4
pov: you’re an intj ,Still Don't Know My Name,Labrinth,0.316,0.63,5,-5.963,1,0.117,0.471,0.262,0.205,0.313,89.643,153294,1
pov: you’re an intj ,Everybody Wants To Rule The World - From “The Hunger Games: Catching Fire” Soundtrack,Lorde,0.574,0.569,11,-9.289,0,0.0991,0.593,0.000164,0.108,0.0604,110.994,155587,4
pov: you’re an intj ,People I Don't Like,UPSAHL,0.747,0.573,11,-6.562,0,0.295,0.268,0.0,0.302,0.551,90.036,142766,4
pov: you’re an intj ,CLOUDS,NF,0.788,0.652,1,-3.931,1,0.405,0.373,0.0,0.755,0.812,128.108,243760,4
pov: you’re an intj ,idfc,blackbear,0.718,0.422,4,-9.115,0,0.0621,0.0764,0.0,0.17,0.455,144.678,207027,4
pov: you’re an intj ,The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya, The Greatest Showman Ensemble",0.417,0.824,11,-7.36,0,0.105,0.000239,0.0545,0.0725,0.4,157.92,302147,4
pov: you’re an intj ,Middle Finger,Bohnes,0.685,0.656,1,-6.013,0,0.0383,0.437,0.0,0.347,0.392,128.003,229986,4
pov: you’re an intj ,Drugs,UPSAHL,0.883,0.415,6,-8.571,0,0.174,0.35,0.0,0.063,0.318,76.986,155867,4
pov: you’re an intj ,Fluorescent Adolescent,Arctic Monkeys,0.654,0.828,1,-5.377,0,0.0281,0.00146,0.000144,0.122,0.79,112.056,183893,4
pov: you’re an intj ,Seven Nation Army,The White Stripes,0.726,0.463,0,-7.828,1,0.0799,0.00817,0.447,0.255,0.321,123.881,231733,4
pov: you’re an intj ,parents,YUNGBLUD,0.618,0.823,7,-4.76,1,0.0447,0.0132,0.0,0.288,0.58,82.004,171880,4
pov: you’re an intj ,All The Things She Said,t.A.T.u.,0.603,0.834,5,-5.766,0,0.0417,0.0411,0.00609,0.105,0.376,89.957,214440,4
pov: you’re an intj ,Emperor's New Clothes,Panic! At The Disco,0.562,0.904,1,-4.947,1,0.0807,0.00302,0.0,0.0433,0.651,94.481,158667,4
INTJ songs based on personality database,Little Dark Age,MGMT,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,299960,4
INTJ songs based on personality database,A Pearl,Mitski,0.295,0.637,8,-4.043,1,0.0288,0.0496,0.0236,0.112,0.221,84.551,156146,4
INTJ songs based on personality database,Ancient Dreams in a Modern Land,MARINA,0.578,0.793,10,-5.002,0,0.0453,0.0166,0.0,0.304,0.638,137.915,206080,4
INTJ songs based on personality database,Dark Red,Steve Lacy,0.603,0.783,6,-4.023,1,0.062,0.449,7.96e-06,0.119,0.775,172.041,173104,4
INTJ songs based on personality database,I Am Not a Robot,MARINA,0.665,0.494,2,-5.405,1,0.0269,0.571,0.0,0.12,0.489,120.003,215173,4
INTJ songs based on personality database,Venus Fly Trap,MARINA,0.586,0.856,9,-4.392,0,0.0512,0.0883,1.73e-06,0.341,0.518,135.095,158733,4
INTJ songs based on personality database,Control,Halsey,0.549,0.675,4,-5.637,0,0.0332,0.399,0.0,0.181,0.206,119.898,214762,4
INTJ songs based on personality database,Burning Pile,Mother Mother,0.516,0.755,5,-3.724,1,0.0383,0.0633,0.00103,0.107,0.165,140.099,262173,4
INTJ songs based on personality database,bury a friend,Billie Eilish,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143,4
INTJ songs based on personality database,Habits (Stay High),Tove Lo,0.733,0.65,5,-3.539,1,0.0315,0.0703,6.59e-05,0.0829,0.348,110.003,209160,4
INTJ songs based on personality database,exile (feat. Bon Iver),"Taylor Swift, Bon Iver",0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,285634,4
INTJ songs based on personality database,WAP (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,187541,4
INTJ songs based on personality database,Gucci Gang,Lil Pump,0.936,0.523,5,-6.71,1,0.0597,0.239,0.0,0.117,0.699,119.889,124056,4
INTJ songs based on personality database,Take Me To Church,Hozier,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,241688,4
INTJ songs based on personality database,Who Is She ?,I Monster,0.396,0.801,1,-4.014,0,0.0411,0.0742,0.00907,0.0925,0.105,152.701,213373,4
INTJ songs based on personality database,Unstoppable,Sia,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,217747,4
INTJ songs based on personality database,As the World Caves In,Matt Maltese,0.331,0.45,10,-5.362,1,0.034,0.365,0.00464,0.22,0.18,123.829,218755,4
INTJ songs based on personality database,Oh Ana,Mother Mother,0.512,0.525,5,-7.152,1,0.0429,0.672,1.66e-05,0.112,0.337,128.054,197080,4
INTJ songs based on personality database,NEW MAGIC WAND,"Tyler, The Creator",0.621,0.73,5,-5.414,0,0.107,0.0967,0.000131,0.673,0.464,139.566,195320,4
INTJ songs based on personality database,masquerade,siouxxie sixxsta,0.608,0.792,9,-5.721,1,0.0355,0.000674,0.653,0.252,0.611,161.104,144536,4
INTJ songs based on personality database,Gangsta's Paradise,"Coolio, L.V.",0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,240693,4
INTJ songs based on personality database,The Beach,The Neighbourhood,0.245,0.64,2,-7.426,0,0.0608,0.131,8.11e-06,0.0766,0.105,135.739,255133,4
INTJ songs based on personality database,She Knows (feat. Amber Coffman & Cults),"J. Cole, Cults, Amber Coffman",0.766,0.74,1,-10.363,1,0.0807,0.0193,0.0784,0.229,0.183,118.008,296520,4
INTJ songs based on personality database,Murder In My Mind,Kordhell,0.712,0.972,10,-0.514,1,0.112,0.00547,7.06e-05,0.128,0.568,119.966,145000,4
