,Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
0,"INTP playlist (for intps, by an intp)",Take Me to Church,Hozier,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,241693,4
1,"INTP playlist (for intps, by an intp)",COPYCAT,Billie Eilish,0.679,0.388,4,-10.977,0,0.0932,0.353,9.25e-05,0.341,0.234,124.909,194711,4
2,"INTP playlist (for intps, by an intp)",Burning Pile,Mother Mother,0.516,0.755,5,-3.724,1,0.0383,0.0633,0.00103,0.107,0.165,140.099,262173,4
3,"INTP playlist (for intps, by an intp)",Therefore I Am,Billie Eilish,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,174321,4
4,"INTP playlist (for intps, by an intp)",bellyache,Billie Eilish,0.695,0.573,4,-8.597,0,0.106,0.46,0.0734,0.482,0.408,99.939,179172,4
5,"INTP playlist (for intps, by an intp)",Gasoline,Halsey,0.731,0.58,10,-7.328,0,0.0399,0.223,0.0,0.129,0.319,119.997,199593,4
6,"INTP playlist (for intps, by an intp)",Blood // Water,grandson,0.504,0.891,6,-5.632,0,0.137,0.00163,0.00199,0.148,0.628,153.988,214520,4
7,"INTP playlist (for intps, by an intp)",we fell in love in october,girl in red,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959,184154,4
8,"INTP playlist (for intps, by an intp)",i wanna be your girlfriend,girl in red,0.54,0.381,7,-14.323,1,0.0347,0.0217,0.000687,0.305,0.343,155.882,204991,4
9,"INTP playlist (for intps, by an intp)",Foreigner's God,Hozier,0.502,0.445,8,-7.622,1,0.0294,0.161,0.000466,0.111,0.377,88.866,225227,4
10,"INTP playlist (for intps, by an intp)",She,dodie,0.479,0.154,2,-15.051,1,0.0369,0.755,0.0261,0.11,0.232,92.457,213612,4
11,"INTP playlist (for intps, by an intp)",From Eden,Hozier,0.399,0.673,0,-5.506,1,0.0509,0.584,2.44e-05,0.118,0.285,142.255,283467,5
12,"INTP playlist (for intps, by an intp)",Arsonist's Lullabye,Hozier,0.463,0.373,6,-10.666,0,0.0362,0.673,0.0745,0.118,0.184,64.831,266547,4
13,"INTP playlist (for intps, by an intp)",Honey and Glass,Peyton Cardoza,0.449,0.384,10,-12.26,1,0.0477,0.816,0.016,0.285,0.406,95.652,116872,4
14,"INTP playlist (for intps, by an intp)",GIRL ON TV,chloe moriondo,0.593,0.818,6,-4.106,0,0.183,0.0597,0.0,0.386,0.738,91.011,192280,4
15,"INTP playlist (for intps, by an intp)",making bad decisions,Bea Miller,0.647,0.534,4,-6.075,0,0.0833,0.52,0.0,0.359,0.213,142.058,203002,4
16,"INTP playlist (for intps, by an intp)",forever is a lie,Bea Miller,0.751,0.589,2,-3.55,1,0.0353,0.372,0.0,0.127,0.421,90.716,152289,4
17,"INTP playlist (for intps, by an intp)",i never wanna die,Bea Miller,0.695,0.571,1,-5.03,0,0.0578,0.25,0.0,0.36,0.195,88.068,174848,4
18,"INTP playlist (for intps, by an intp)",girls,girl in red,0.515,0.449,5,-14.468,1,0.0337,0.227,0.0357,0.171,0.792,149.966,198400,4
