,Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
0,ISFJ songs,Washing Machine Heart,Mitski,0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,128199,4
1,ISFJ songs,All Too Well (Taylor's Version),Taylor Swift,0.44,0.528,0,-7.809,1,0.0317,0.0171,0.00203,0.234,0.132,185.972,329160,4
2,ISFJ songs,Me and My Husband,Mitski,0.497,0.638,1,-5.31,1,0.0274,0.0467,0.0,0.385,0.77,172.01,137142,4
3,ISFJ songs,deja vu,Olivia Rodrigo,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507,4
4,ISFJ songs,As It Was,Harry Styles,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4
5,ISFJ songs,favorite crime,Olivia Rodrigo,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929,152667,4
6,ISFJ songs,right where you left me - bonus track,Taylor Swift,0.581,0.619,10,-6.524,1,0.0282,0.769,0.000106,0.117,0.645,137.915,245027,4
7,ISFJ songs,hope ur ok,Olivia Rodrigo,0.443,0.298,0,-12.181,1,0.0644,0.388,1e-05,0.103,0.172,77.253,209560,4
8,ISFJ songs,Soap,Melanie Martinez,0.595,0.689,6,-6.107,0,0.148,0.254,5.44e-06,0.129,0.213,168.112,209427,4
9,ISFJ songs,august,Taylor Swift,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,261923,4
10,ISFJ songs,tolerate it,Taylor Swift,0.316,0.361,9,-10.381,1,0.0488,0.878,2.67e-05,0.0797,0.221,74.952,245440,5
11,ISFJ songs,Last Kiss,Taylor Swift,0.359,0.329,10,-9.531,1,0.0293,0.581,3.75e-05,0.0979,0.208,84.358,367147,3
12,ISFJ songs,Your Best American Girl,Mitski,0.362,0.258,7,-9.655,1,0.0315,0.0165,0.00714,0.231,0.133,77.021,212184,4
13,ISFJ songs,Take on Me,a-ha,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,225280,4
14,ISFJ songs,prom dress,mxmtoon,0.56,0.674,10,-6.048,1,0.0446,0.698,0.0,0.123,0.421,119.942,197933,4
15,ISFJ songs,Pretty Girl,Clairo,0.93,0.611,0,-4.406,1,0.0415,0.593,0.00124,0.0592,0.695,112.127,178352,4
16,ISFJ songs,rises the moon,Liana Flores,0.483,0.129,5,-20.149,0,0.0349,0.947,0.145,0.106,0.203,137.35,161929,3
17,ISFJ songs,Always Forever,Cults,0.174,0.742,8,-5.93,1,0.0485,0.00181,0.281,0.198,0.36,163.378,223747,4
18,ISFJ songs,Old Money,Lana Del Rey,0.312,0.168,10,-12.476,0,0.0332,0.888,6.59e-06,0.147,0.154,108.115,271480,1
19,ISFJ songs,Wife,Mitski,0.376,0.101,0,-14.451,1,0.0333,0.956,0.0,0.382,0.231,79.95,159520,3
20,ISFJ songs,I Don't Smoke,Mitski,0.133,0.54,1,-7.108,1,0.0339,2.56e-05,0.00805,0.114,0.233,143.951,198533,4
21,ISFJ songs,Chamber Of Reflection,Mac DeMarco,0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03,231724,4
22,ISFJ songs,marjorie,Taylor Swift,0.535,0.561,5,-11.609,1,0.0484,0.876,0.000136,0.115,0.287,96.103,257773,4
23,ISFJ songs,the last great american dynasty,Taylor Swift,0.686,0.662,7,-8.505,1,0.0413,0.467,0.0023,0.109,0.706,147.922,230999,4
24,ISFJ songs,It's Been So Long,The Living Tombstone,0.564,0.647,10,-6.759,0,0.0407,0.114,0.0,0.17,0.458,95.923,174395,4
25,ISFJ songs,happiness,Taylor Swift,0.559,0.334,11,-10.733,1,0.0376,0.87,0.0,0.114,0.211,122.079,315147,4
26,ISFJ songs,Looking Out for You,Joy Again,0.682,0.9,9,-5.028,1,0.0874,0.0884,0.063,0.0685,0.937,100.721,179499,4
27,ISFJ songs,Mayonaka no Door / Stay With Me,Miki Matsubara,0.658,0.747,5,-6.615,1,0.0431,0.176,8.49e-06,0.0789,0.792,108.259,312293,4
28,ISFJ songs,Somewhere Only We Know,Keane,0.448,0.665,9,-4.203,1,0.026,0.06,2.55e-05,0.0828,0.304,172.004,237147,4
29,ISFJ songs,Fix You,Coldplay,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,295533,4
30,ISFJ songs,coney island (feat. The National),"Taylor Swift, The National",0.537,0.537,8,-11.266,1,0.0617,0.819,0.000904,0.142,0.292,107.895,275320,4
31,ISFJ songs,Lies,MARINA,0.561,0.671,7,-5.582,1,0.0338,0.0154,0.0,0.171,0.278,124.06,226200,4
32,ISFJ songs,Back To December,Taylor Swift,0.517,0.606,2,-5.797,1,0.0289,0.0202,0.0,0.324,0.296,141.929,293040,4
33,ISFJ songs,Someone Like You,Adele,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,285240,4
34,ISFJ songs,Safe & Sound - from The Hunger Games Soundtrack,"Taylor Swift, The Civil Wars",0.471,0.3,7,-10.807,1,0.028,0.883,1.05e-05,0.0698,0.289,144.319,240067,4
35,ISFJ songs,American Healthcare,Penelope Scott,0.492,0.41,4,-7.343,0,0.0412,0.554,0.647,0.173,0.7,133.13,165800,4
36,ISFJ songs,Chemtrails Over The Country Club,Lana Del Rey,0.334,0.276,4,-13.125,0,0.0643,0.877,0.000249,0.113,0.429,201.025,271177,3
37,ISFJ songs,Fifteen,Taylor Swift,0.55,0.64,7,-4.448,1,0.0266,0.0687,0.0,0.131,0.197,95.487,295333,4
38,ISFJ songs,Old Friend,Mitski,0.578,0.445,10,-9.129,1,0.023,0.374,1.83e-05,0.225,0.333,89.946,112910,4
39,ISFJ songs,All I Want for Christmas Is You,Mariah Carey,0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,241107,4
40,ISFJ songs,Flaming Hot Cheetos,Clairo,0.817,0.551,7,-9.33,0,0.133,0.865,0.000151,0.101,0.142,109.966,123884,4
41,ISFJ songs,I Guess,Mitski,0.233,0.172,1,-18.19,1,0.0331,0.961,0.167,0.109,0.0685,128.195,135171,5
42,ISFJ songs,Orange Juice,Melanie Martinez,0.708,0.665,1,-7.612,0,0.0994,0.537,0.0,0.578,0.637,106.999,217241,4
43,ISFJ songs,Lose You To Love Me,Selena Gomez,0.488,0.343,4,-8.985,1,0.0436,0.556,0.0,0.21,0.0978,102.819,206459,4
44,ISFJ songs,eight(Prod.&Feat. SUGA of BTS),"IU, SUGA",0.676,0.869,1,-1.573,1,0.0423,0.115,0.0,0.132,0.594,120.029,167573,4
45,ISFJ songs,Dear John,Taylor Swift,0.583,0.468,4,-5.378,1,0.0278,0.183,1.65e-06,0.111,0.126,119.375,403888,3
46,ISFJ songs,get well soon,Ariana Grande,0.604,0.449,9,-6.564,0,0.0353,0.657,0.0,0.0932,0.528,100.355,322027,4
