Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
isfp's playlist.,brutal,Olivia Rodrigo,0.672,0.526,4,-6.446,1,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,143747,4
isfp's playlist.,Looking Out for You,Joy Again,0.682,0.9,9,-5.028,1,0.0874,0.0884,0.063,0.0685,0.937,100.721,179499,4
isfp's playlist.,Jealous,Eyedress,0.474,0.91,9,-10.431,0,0.0462,0.00498,0.859,0.476,0.745,93.01,122339,4
isfp's playlist.,Phanta,Le Tigre,0.55,0.898,7,-3.994,1,0.195,0.271,0.00464,0.285,0.616,160.112,194600,4
isfp's playlist.,My Ordinary Life,The Living Tombstone,0.648,0.827,9,-4.78,0,0.042,0.00533,0.338,0.217,0.598,176.005,230895,4
isfp's playlist.,Body,Mother Mother,0.596,0.633,10,-3.602,0,0.0594,0.131,0.0,0.343,0.473,148.09,213573,4
isfp's playlist.,A Pearl,Mitski,0.225,0.639,8,-4.034,1,0.0299,0.0488,0.0274,0.112,0.226,83.632,156146,4
isfp's playlist.,Feel Better,Penelope Scott,0.594,0.335,4,-13.415,0,0.0513,0.747,0.0111,0.0976,0.343,87.49,252630,4
isfp's playlist.,Juliet,Cavetown,0.546,0.586,6,-8.488,1,0.0313,0.00346,0.00114,0.0562,0.364,131.778,278991,4
isfp's playlist.,Freaks,Surf Curse,0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,147062,4
isfp's playlist.,Young,Vacations,0.498,0.81,7,-4.065,1,0.0263,0.00392,0.00717,0.0635,0.594,79.935,189160,4
isfp's playlist.,"jealousy, jealousy",Olivia Rodrigo,0.695,0.575,10,-6.334,0,0.116,0.198,0.0,0.0614,0.699,163.929,173160,4
isfp's playlist.,"Sex, Drugs, Etc.",Beach Weather,0.574,0.839,4,-5.083,0,0.0377,0.0131,0.0101,0.524,0.469,143.973,196784,4
isfp's playlist.,Here,Alessia Cara,0.376,0.822,0,-3.974,1,0.104,0.0783,0.0,0.0841,0.327,120.493,199453,4
isfp's playlist.,Cool for the Summer,Demi Lovato,0.583,0.61,5,-5.639,0,0.0382,0.00425,0.000105,0.14,0.336,114.06,214740,4
isfp's playlist.,As the World Caves In,Sarah Cothran,0.372,0.255,7,-6.834,1,0.0344,0.436,0.0,0.33,0.254,114.402,161613,1
isfp's playlist.,everything i wanted,Billie Eilish,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4
isfp's playlist.,bellyache,Billie Eilish,0.695,0.573,4,-8.597,0,0.106,0.46,0.0734,0.482,0.408,99.939,179172,4
isfp's playlist.,Fire Drill,Melanie Martinez,0.762,0.596,9,-8.152,1,0.075,0.29,0.0,0.0691,0.378,116.887,255153,4
isfp's playlist.,feel something,Bea Miller,0.74,0.415,0,-8.914,1,0.0707,0.242,0.000156,0.319,0.156,136.029,180161,4
isfp's playlist.,Sofia,Clairo,0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,188387,4
isfp's playlist.,Little Dark Age,MGMT,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,299960,4
isfp's playlist.,Rhinestone Eyes,Gorillaz,0.676,0.703,8,-5.815,0,0.0302,0.0869,0.000687,0.0463,0.852,92.761,200173,4
isfp's playlist.,All The Things She Said,t.A.T.u.,0.603,0.834,5,-5.766,0,0.0417,0.0411,0.00609,0.105,0.376,89.957,214440,4
isfp's playlist.,Daddy Issues,The Neighbourhood,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,260173,4
isfp's playlist.,Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole",0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,162680,4
isfp's playlist.,t r a n s p a r e n t s o u l feat. Travis Barker,"WILLOW, Travis Barker",0.39,0.83,11,-5.201,0,0.0563,0.0021,0.0,0.156,0.191,90.021,168030,4
isfp's playlist.,Burning Pile,Mother Mother,0.516,0.755,5,-3.724,1,0.0383,0.0633,0.00103,0.107,0.165,140.099,262173,4
isfp's playlist.,Bubble Pop Electric,"Gwen Stefani, Johnny Vulture",0.566,0.976,1,-3.866,1,0.262,0.000527,0.00265,0.114,0.354,193.979,222360,4
isfp's playlist.,Cloud 9,Beach Bunny,0.637,0.929,4,-3.593,1,0.0491,0.00167,2.62e-05,0.344,0.902,80.974,147351,4
isfp's playlist.,The Adults Are Talking,The Strokes,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,309053,4
isfp's playlist.,YKWIM?,Yot Club,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,212750,3
isfp's playlist.,Verbatim,Mother Mother,0.827,0.58,7,-6.809,1,0.327,0.309,0.0,0.148,0.492,78.011,168320,4
isfp's playlist.,we fell in love in october,girl in red,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959,184154,4
isfp's playlist.,favorite crime,Olivia Rodrigo,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929,152667,4
isfp's playlist.,Cherry,Lana Del Rey,0.449,0.534,8,-9.493,0,0.0494,0.048,0.0011,0.384,0.342,94.261,180902,3
isfp's playlist.,Deceptacon,Le Tigre,0.603,0.864,4,-3.341,0,0.0668,0.055,0.00493,0.0986,0.616,160.488,184627,4
isfp's playlist.,Fahrradsattel,Pisse,0.676,0.937,2,-7.756,1,0.0754,0.264,0.742,0.698,0.655,120.161,109049,4
isfp's playlist.,Cooler Than Me,Ethan Fields,0.578,0.849,5,-4.614,0,0.0595,0.00218,0.0,0.389,0.626,136.021,155294,4
isfp's playlist.,Nobody,Mitski,0.398,0.716,0,-5.254,1,0.0392,0.0764,0.0,0.0848,0.494,117.295,193429,4
