,Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
0,the worst kpop songs ever released,2 Baddies,NCT 127,0.596,0.921,2,-2.372,1,0.258,0.153,0.0,0.0922,0.529,171.96,230293,4
1,the worst kpop songs ever released,Sticker,NCT 127,0.527,0.769,2,-0.419,1,0.28,0.311,0.0,0.742,0.719,156.032,227773,4
2,the worst kpop songs ever released,My Van,NCT 127,0.723,0.65,6,-6.719,0,0.182,0.0573,0.000521,0.104,0.395,136.946,206107,4
3,the worst kpop songs ever released,DICE,NMIXX,0.556,0.798,7,-3.331,1,0.254,0.0848,0.0,0.33,0.628,131.096,165747,4
4,the worst kpop songs ever released,ANTIFRAGILE,LE SSERAFIM,0.882,0.797,10,-3.299,0,0.0819,0.0821,0.0,0.113,0.824,105.025,184444,4
5,the worst kpop songs ever released,Nxde,(G)I-DLE,0.726,0.91,4,-1.948,0,0.179,0.0413,7.81e-06,0.479,0.648,135.966,178453,4
6,the worst kpop songs ever released,MY BAG,(G)I-DLE,0.838,0.823,8,-3.929,0,0.164,0.0864,7.12e-05,0.156,0.759,94.024,160520,4
7,the worst kpop songs ever released,ZOO,"TAEYONG, JENO, HENDERY, YANGYANG, GISELLE",0.823,0.923,9,-2.875,1,0.158,0.127,0.0,0.0571,0.629,122.922,177413,4
8,the worst kpop songs ever released,ICY,ITZY,0.801,0.904,2,-2.819,1,0.0834,0.0324,3.1e-05,0.182,0.814,124.979,191142,4
9,the worst kpop songs ever released,LOCO,ITZY,0.759,0.886,1,-3.067,1,0.187,0.0103,2.04e-05,0.342,0.489,102.065,191462,4
10,the worst kpop songs ever released,Make A Wish (Birthday Song),NCT U,0.732,0.795,8,-2.263,1,0.1,0.0632,0.0,0.0569,0.693,100.954,229400,4
11,the worst kpop songs ever released,RHYTHM TA,iKON,0.764,0.828,7,-4.375,1,0.0967,0.104,0.0,0.332,0.583,81.989,226970,4
12,the worst kpop songs ever released,BLING BLING,iKON,0.781,0.94,2,-3.779,1,0.0669,0.069,0.0,0.0992,0.537,125.009,219225,4
13,the worst kpop songs ever released,War of Hormone,BTS,0.612,0.993,9,-1.895,1,0.24,0.116,0.0,0.307,0.488,98.004,265602,4
14,the worst kpop songs ever released,Silver Spoon,BTS,0.65,0.879,9,-2.886,1,0.073,0.00104,0.0,0.0483,0.536,166.895,233160,4
15,the worst kpop songs ever released,Boyz with Fun,BTS,0.704,0.96,1,-2.606,0,0.192,0.0808,0.0,0.383,0.751,116.024,244156,4
16,the worst kpop songs ever released,Danger,BTS,0.738,0.868,1,-3.363,1,0.0702,0.000907,0.000209,0.275,0.377,111.991,245140,4
17,the worst kpop songs ever released,Next Level,aespa,0.82,0.852,11,-2.567,0,0.166,0.488,5.94e-06,0.0907,0.82,109.036,221573,4
18,the worst kpop songs ever released,Ma City,BTS,0.668,0.967,6,-2.192,0,0.0957,0.000266,0.0,0.0777,0.807,122.007,256687,4
19,the worst kpop songs ever released,21st Century Girl,BTS,0.716,0.906,2,-3.539,1,0.0719,0.00424,0.0,0.0547,0.763,101.029,192597,4
20,the worst kpop songs ever released,Daechwita,Agust D,0.65,0.827,8,-4.014,1,0.0599,0.0229,0.0,0.121,0.223,144.995,225668,4
21,the worst kpop songs ever released,Lotto,EXO,0.798,0.867,11,-3.207,0,0.0386,0.0618,0.0,0.193,0.702,99.996,189775,4
22,the worst kpop songs ever released,닐리리맘보,Block B,0.756,0.837,2,-2.711,0,0.0524,0.0131,0.0,0.0943,0.537,109.937,205280,4
23,the worst kpop songs ever released,Give It to Me,Agust D,0.657,0.751,11,-3.889,1,0.185,0.000833,1.05e-05,0.158,0.43,94.987,149525,4
24,the worst kpop songs ever released,Hot Sauce,NCT DREAM,0.769,0.926,6,-1.627,1,0.0788,0.0127,0.0,0.285,0.551,100.034,195813,4
25,the worst kpop songs ever released,Hello Bitches,CL,0.714,0.884,11,-2.932,1,0.113,0.00985,0.0,0.439,0.584,145.075,178177,4
26,the worst kpop songs ever released,난리나,Block B,0.78,0.956,8,-3.69,1,0.0882,0.0523,0.0,0.0675,0.921,114.971,202606,4
27,the worst kpop songs ever released,Am I Wrong,BTS,0.76,0.834,6,-4.992,1,0.0494,0.00125,1.07e-05,0.0868,0.679,107.988,213082,4
28,the worst kpop songs ever released,Baby Don’t Stop,"NCT, NCT U",0.827,0.739,8,-6.391,1,0.0744,0.0214,4.13e-06,0.043,0.352,95.999,183020,4
29,the worst kpop songs ever released,HIP,MAMAMOO,0.782,0.731,3,-4.581,0,0.143,0.0376,3.15e-05,0.0956,0.824,138.032,195307,4
30,the worst kpop songs ever released,God’s Menu,Stray Kids,0.689,0.771,5,-3.618,1,0.0548,0.00776,0.0,0.521,0.482,157.052,167922,4
31,the worst kpop songs ever released,MIROH,Stray Kids,0.564,0.979,9,-3.102,1,0.104,0.0091,0.0,0.249,0.505,126.059,207617,4
32,the worst kpop songs ever released,HOME,BTS,0.633,0.799,7,-4.625,0,0.0427,0.0144,0.0,0.194,0.534,142.991,234178,4
33,the worst kpop songs ever released,소방차 Fire Truck,NCT 127,0.724,0.976,1,-3.279,1,0.0602,0.116,1.3e-05,0.352,0.626,110.006,178565,4
34,the worst kpop songs ever released,Anpanman,BTS,0.813,0.876,1,-2.92,0,0.0922,0.024,0.0,0.287,0.757,98.989,232966,4
35,the worst kpop songs ever released,Simon Says,NCT 127,0.653,0.836,9,-6.018,1,0.238,0.218,0.0,0.0507,0.569,151.977,199773,4
36,the worst kpop songs ever released,90's Love,NCT U,0.743,0.924,1,-1.501,0,0.0642,0.0688,0.0,0.112,0.702,107.995,213667,4
37,the worst kpop songs ever released,Mad City,NCT 127,0.819,0.913,7,-3.791,1,0.199,0.368,0.0,0.253,0.443,104.958,198775,4
38,the worst kpop songs ever released,Never Ever,GOT7,0.794,0.835,5,-2.043,0,0.0961,0.266,0.0,0.0979,0.771,101.039,194408,4
39,the worst kpop songs ever released,GO,"NCT, NCT DREAM",0.76,0.928,8,-3.645,0,0.215,0.308,0.0,0.072,0.673,131.985,207173,4
40,the worst kpop songs ever released,Chain,NCT 127,0.596,0.954,10,-2.366,0,0.113,0.114,0.0,0.486,0.735,139.959,222292,4
41,the worst kpop songs ever released,Wakey-Wakey,NCT 127,0.71,0.743,10,-4.877,0,0.0493,0.0539,0.0,0.297,0.629,140.057,182386,4
42,the worst kpop songs ever released,Tempo,EXO,0.686,0.842,0,-4.423,1,0.1,0.237,0.0,0.0683,0.519,115.944,224483,4
43,the worst kpop songs ever released,無限的我 무한적아; LIMITLESS,NCT 127,0.614,0.747,5,-5.655,0,0.0743,0.00934,0.0,0.0337,0.538,78.216,247467,4
44,the worst kpop songs ever released,DRAMARAMA,MONSTA X,0.571,0.779,8,-2.864,1,0.111,0.135,0.0,0.202,0.261,186.154,186296,4
45,the worst kpop songs ever released,Snapping,CHUNG HA,0.746,0.726,8,-3.499,0,0.0394,0.0706,3.43e-06,0.278,0.578,104.961,213164,4
46,the worst kpop songs ever released,LION,(G)I-DLE,0.741,0.715,4,-5.206,0,0.034,0.0318,0.0,0.121,0.187,109.989,210973,4
47,the worst kpop songs ever released,Uh-Oh,(G)I-DLE,0.781,0.814,11,-3.315,0,0.0648,0.0586,0.0,0.118,0.782,92.037,207600,4
48,the worst kpop songs ever released,Get It,PRISTIN V,0.463,0.883,7,-3.245,1,0.224,0.212,0.0,0.213,0.439,99.021,207041,4
49,the worst kpop songs ever released,Secret Story of the Swan,IZ*ONE,0.703,0.941,7,-0.995,0,0.0808,0.131,0.0,0.319,0.758,102.969,192333,4
50,ISTJ,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
51,ISTJ,Broken Melodies,NCT DREAM,0.587,0.821,1,-2.983,1,0.0462,0.188,0.0,0.178,0.392,150.064,226160,4
52,ISTJ,Yogurt Shake,NCT DREAM,0.794,0.806,11,-2.946,1,0.0506,0.274,0.0,0.196,0.573,130.075,197600,4
53,ISTJ,Skateboard,NCT DREAM,0.813,0.938,9,-2.017,1,0.136,0.09,0.0,0.0317,0.823,109.974,186333,4
54,ISTJ,Blue Wave,NCT DREAM,0.718,0.735,7,-4.207,0,0.114,0.109,0.0,0.316,0.57,107.982,190867,4
55,ISTJ,Poison,NCT DREAM,0.648,0.61,8,-4.032,0,0.0369,0.0648,0.0,0.282,0.577,134.965,212680,4
56,ISTJ,SOS,NCT DREAM,0.772,0.817,1,-3.483,1,0.204,0.052,0.0,0.435,0.44,110.058,179827,4
57,ISTJ,Pretzel (♡),NCT DREAM,0.769,0.69,10,-3.609,0,0.15,0.0244,0.0,0.0926,0.575,100.817,205693,4
58,ISTJ,Starry Night,NCT DREAM,0.674,0.768,0,-3.973,0,0.0429,0.458,0.0,0.183,0.729,153.009,190120,4
59,ISTJ,Like We Just Met,NCT DREAM,0.666,0.509,2,-5.619,1,0.0378,0.16,0.0,0.171,0.446,106.987,209627,4
60,ISTJ,Broken Melodies,NCT DREAM,0.587,0.821,1,-2.983,1,0.0462,0.188,0.0,0.178,0.392,150.064,226160,4
61,ISTJ,Candy,NCT DREAM,0.65,0.964,1,-1.329,1,0.0348,0.0538,0.0,0.245,0.836,120.008,217067,4
62,ISTJ,Beatbox,NCT DREAM,0.857,0.7,4,-4.189,0,0.074,0.0411,0.0,0.0334,0.773,93.997,205133,4
63,ISTJ,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
64,ISTJ,Yogurt Shake,NCT DREAM,0.794,0.806,11,-2.946,1,0.0506,0.274,0.0,0.196,0.573,130.075,197600,4
65,ISTJ,Broken Melodies,NCT DREAM,0.587,0.821,1,-2.983,1,0.0462,0.188,0.0,0.178,0.392,150.064,226160,4
66,ISTJ,Better Than Gold,NCT DREAM,0.713,0.842,0,-3.225,1,0.0402,0.0526,0.0,0.0834,0.715,110.039,200747,4
67,ISTJ,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
68,ISTJ,Skateboard,NCT DREAM,0.813,0.938,9,-2.017,1,0.136,0.09,0.0,0.0317,0.823,109.974,186333,4
69,ISTJ,Best Friend Ever,NCT DREAM,0.789,0.869,5,-1.805,0,0.103,0.022,0.0,0.0644,0.762,107.977,201440,4
70,ISTJ,Jet,"EUNHYUK, HYO, TAEYONG, JAEMIN, SUNGCHAN, WINTER, GISELLE",0.738,0.771,2,-2.818,1,0.0472,0.106,0.0,0.307,0.449,79.989,207693,4
71,ISTJ,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
72,ISTJ,Blue Wave,NCT DREAM,0.718,0.735,7,-4.207,0,0.114,0.109,0.0,0.316,0.57,107.982,190867,4
73,ISTJ,Candy,NCT DREAM,0.65,0.964,1,-1.329,1,0.0348,0.0538,0.0,0.245,0.836,120.008,217067,4
74,ISTJ,Life Is Still Going On,NCT DREAM,0.681,0.749,0,-3.436,0,0.0701,0.158,0.0,0.303,0.676,150.039,218587,4
75,ISTJ,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
76,ISTJ,Poison,NCT DREAM,0.648,0.61,8,-4.032,0,0.0369,0.0648,0.0,0.282,0.577,134.965,212680,4
77,ISTJ,Broken Melodies,NCT DREAM,0.587,0.821,1,-2.983,1,0.0462,0.188,0.0,0.178,0.392,150.064,226160,4
78,ISTJ,Graduation,NCT DREAM,0.4,0.663,6,-4.642,1,0.0712,0.426,0.0,0.141,0.41,169.772,237093,4
79,ISTJ,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
80,ISTJ,SOS,NCT DREAM,0.772,0.817,1,-3.483,1,0.204,0.052,0.0,0.435,0.44,110.058,179827,4
81,ISTJ,Happier,"KANGTA, YESUNG, SUHO, TAEIL, RENJUN",0.648,0.423,0,-8.089,1,0.0543,0.293,1.06e-05,0.138,0.423,86.945,162533,4
82,ISTJ,Broken Melodies,NCT DREAM,0.587,0.821,1,-2.983,1,0.0462,0.188,0.0,0.178,0.392,150.064,226160,4
83,ISTJ,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
84,ISTJ,Pretzel (♡),NCT DREAM,0.769,0.69,10,-3.609,0,0.15,0.0244,0.0,0.0926,0.575,100.817,205693,4
85,ISTJ,같은 시간 같은 자리 Walk you home,NCT DREAM,0.799,0.761,11,-4.897,0,0.0453,0.309,0.0,0.115,0.625,97.997,175240,4
86,ISTJ,Candy,NCT DREAM,0.65,0.964,1,-1.329,1,0.0348,0.0538,0.0,0.245,0.836,120.008,217067,4
87,ISTJ,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
88,ISTJ,Starry Night,NCT DREAM,0.674,0.768,0,-3.973,0,0.0429,0.458,0.0,0.183,0.729,153.009,190120,4
89,ISTJ,Hello Future,NCT DREAM,0.545,0.803,1,-2.283,1,0.0526,0.0261,0.0,0.114,0.5,170.006,220920,4
90,ISTJ,Broken Melodies,NCT DREAM,0.587,0.821,1,-2.983,1,0.0462,0.188,0.0,0.178,0.392,150.064,226160,4
91,ISTJ,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
92,ISTJ,Like We Just Met,NCT DREAM,0.666,0.509,2,-5.619,1,0.0378,0.16,0.0,0.171,0.446,106.987,209627,4
93,ISTJ,마지막 첫사랑 My First and Last,NCT DREAM,0.799,0.899,2,-3.945,1,0.131,0.018,0.0,0.0801,0.589,108.051,201980,4
94,ISTJ,Teddy Bear,NCT DREAM,0.731,0.594,10,-5.688,0,0.0315,0.71,1.18e-06,0.111,0.484,106.001,242040,4
95,ISTJ,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
96,ISTJ,Broken Melodies,NCT DREAM,0.587,0.821,1,-2.983,1,0.0462,0.188,0.0,0.178,0.392,150.064,226160,4
97,ISTJ,Rainbow,NCT DREAM,0.555,0.705,10,-4.314,1,0.0482,0.529,0.0,0.105,0.409,133.005,231773,4
98,ISTJ,Where You Are,"RYEOWOOK, ONEW, DOYOUNG, CHENLE, XIAOJUN",0.465,0.413,5,-5.407,1,0.0296,0.861,0.0,0.116,0.384,169.702,266440,3
99,ISTJ,Yogurt Shake,NCT DREAM,0.794,0.806,11,-2.946,1,0.0506,0.274,0.0,0.196,0.573,130.075,197600,4
100,POV: you’re an istj ,Alien Blues,Vundabar,0.464,0.682,10,-8.541,1,0.033,0.0768,0.832,0.0856,0.455,80.062,156057,4
101,POV: you’re an istj ,Vanished,Crystal Castles,0.713,0.868,0,-6.644,0,0.0305,0.00206,9.23e-05,0.225,0.641,119.98,242960,4
102,POV: you’re an istj ,brutal,Olivia Rodrigo,0.672,0.526,4,-6.446,1,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,143747,4
103,POV: you’re an istj ,Crimewave,Crystal Castles,0.746,0.691,4,-7.533,0,0.0403,0.184,0.0259,0.205,0.888,119.982,258453,4
104,POV: you’re an istj ,Violent,carolesdaughter,0.797,0.755,2,-5.393,1,0.0293,0.331,2.26e-06,0.124,0.411,129.955,135878,4
105,POV: you’re an istj ,Soap,Melanie Martinez,0.595,0.689,6,-6.107,0,0.148,0.254,5.44e-06,0.129,0.213,168.112,209427,4
106,POV: you’re an istj ,Breezeblocks,alt-J,0.615,0.658,5,-7.299,1,0.0343,0.096,0.000911,0.205,0.293,150.093,227080,4
107,POV: you’re an istj ,Little Dark Age,MGMT,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,299960,4
108,POV: you’re an istj ,Washing Machine Heart,Mitski,0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,128199,4
109,POV: you’re an istj ,Nowhere To Run,Stegosaurus Rex,0.809,0.668,7,-6.936,1,0.219,0.678,0.0147,0.0865,0.636,119.976,300000,4
110,POV: you’re an istj ,Romantic Lover,Eyedress,0.658,0.447,9,-9.299,0,0.0869,0.701,0.924,0.198,0.538,184.316,86739,4
111,POV: you’re an istj ,Hayloft,Mother Mother,0.527,0.922,9,-2.666,0,0.0728,0.00475,0.000162,0.422,0.49,95.975,181680,4
112,POV: you’re an istj ,Bad Things,Cults,0.289,0.731,1,-6.866,0,0.0554,0.374,0.316,0.292,0.289,113.618,218560,4
113,POV: you’re an istj ,Alphabet Boy,Melanie Martinez,0.654,0.85,0,-5.719,1,0.0804,0.292,4.6e-05,0.0638,0.52,154.962,253067,4
