,Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature,mbti
0,INFJ ⁺⁎˚📼  ｡ﾟ★*,Glass,nekoi,0.472,0.291,9,-13.512,0,0.0433,0.958,0.569,0.106,0.0701,113.011,146549,4,infj
1,INFJ ⁺⁎˚📼  ｡ﾟ★*,Kou wo Oikakete - Piano Cover,sammy,0.243,0.229,6,-20.156,1,0.0386,0.983,0.88,0.133,0.315,78.402,122000,4,infj
2,INFJ ⁺⁎˚📼  ｡ﾟ★*,Hana,Just Big Hills,0.634,0.242,9,-24.251,0,0.0429,0.334,0.918,0.0927,0.364,116.012,128276,3,infj
3,INFJ ⁺⁎˚📼  ｡ﾟ★*,Heart To Heart,Mac DeMarco,0.901,0.136,8,-16.127,0,0.102,0.667,0.354,0.109,0.643,150.076,211140,4,infj
4,INFJ ⁺⁎˚📼  ｡ﾟ★*,開かれた日記帳,Seiji Kameda,0.258,0.11,2,-15.951,1,0.0434,0.969,0.929,0.114,0.116,139.626,118200,3,infj
5,INFJ ⁺⁎˚📼  ｡ﾟ★*,忘れたくない,Seiji Kameda,0.159,0.138,2,-14.388,1,0.0353,0.929,0.903,0.093,0.0972,78.782,248560,4,infj
6,INFJ ⁺⁎˚📼  ｡ﾟ★*,Back in Time,Borrtex,0.523,0.0991,8,-26.471,0,0.0404,0.994,0.906,0.0915,0.277,159.892,85399,4,infj
7,INFJ ⁺⁎˚📼  ｡ﾟ★*,golden hour - Piano Version,Peaceful Noise,0.339,0.409,9,-15.347,1,0.038,0.976,0.826,0.0964,0.307,187.991,93351,3,infj
8,INFJ ⁺⁎˚📼  ｡ﾟ★*,watching the stars,Øneheart,0.448,0.105,4,-26.191,0,0.0306,0.943,0.929,0.085,0.0483,82.088,99146,4,infj
9,INFJ ⁺⁎˚📼  ｡ﾟ★*,No Thoughts,Xeuphoria,0.368,0.0413,3,-26.917,1,0.032,0.991,0.93,0.113,0.27,68.196,66000,3,infj
10,INFJ ⁺⁎˚📼  ｡ﾟ★*,Avid,Jake Eaw,0.383,0.257,4,-19.732,0,0.0421,0.97,0.953,0.11,0.291,78.092,88491,4,infj
11,INFJ ⁺⁎˚📼  ｡ﾟ★*,Breathe Out,Marika Takeuchi,0.435,0.28,9,-23.598,0,0.0352,0.976,0.932,0.0805,0.547,163.981,156280,4,infj
12,INFJ ⁺⁎˚📼  ｡ﾟ★*,snowfall,"Øneheart, reidenshi",0.466,0.0918,10,-26.813,1,0.0269,0.929,0.803,0.439,0.0841,95.014,124066,4,infj
13,INFJ ⁺⁎˚📼  ｡ﾟ★*,Mystery of Love,Sufjan Stevens,0.365,0.273,4,-16.526,0,0.038,0.94,0.431,0.109,0.238,132.285,248965,5,infj
14,INFJ ⁺⁎˚📼  ｡ﾟ★*,Season of Gold,Narrow Skies,0.293,0.209,9,-14.614,0,0.0473,0.974,0.145,0.104,0.102,180.26,182833,4,infj
15,INFJ ⁺⁎˚📼  ｡ﾟ★*,白ゆきの独白,n-buna,0.517,0.401,11,-20.73,0,0.0354,0.955,0.97,0.204,0.645,130.009,78498,3,infj
16,INFJ ⁺⁎˚📼  ｡ﾟ★*,"Waltz No. 1, Collapse",Hikaru Shirosu,0.505,0.0239,9,-27.412,0,0.0445,0.994,0.956,0.123,0.193,155.588,156039,3,infj
17,INFJ ⁺⁎˚📼  ｡ﾟ★*,A Rainy Morning ～Main Title～（『言の葉の庭』より） - Piano Ver.,Piano Echoes,0.549,0.021,10,-22.781,0,0.0951,0.98,0.921,0.116,0.157,73.184,178508,1,infj
18,INFJ ⁺⁎˚📼  ｡ﾟ★*,Dreamy,Elijah Lee,0.192,0.0498,5,-26.331,1,0.0396,0.96,0.918,0.111,0.117,80.004,210000,4,infj
19,INFJ ⁺⁎˚📼  ｡ﾟ★*,call,yutaka hirasaka,0.571,0.453,2,-7.864,1,0.082,0.978,0.941,0.0793,0.228,80.042,195413,4,infj
20,INFJ ⁺⁎˚📼  ｡ﾟ★*,end,VAMPIRE,0.537,0.18,0,-16.282,0,0.0485,0.835,0.954,0.11,0.151,113.636,61091,4,infj
21,INFJ ⁺⁎˚📼  ｡ﾟ★*,Calico,Haux,0.353,0.239,0,-16.256,1,0.036,0.929,0.589,0.0681,0.299,106.79,231000,3,infj
22,INFJ ⁺⁎˚📼  ｡ﾟ★*,been loving,Mayten,0.526,0.592,2,-7.476,0,0.0342,0.0354,0.884,0.0836,0.442,83.025,208283,4,infj
23,INFJ ⁺⁎˚📼  ｡ﾟ★*,Lights Are On,Tom Rosenthal,0.44,0.04,3,-16.887,1,0.0322,0.981,0.465,0.111,0.249,135.965,193749,4,infj
24,INFJ ⁺⁎˚📼  ｡ﾟ★*,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,222370,4,infj
25,INFJ ⁺⁎˚📼  ｡ﾟ★*,The Garden of Words - A Rainy Morning,Otaku Muisc,0.564,0.0237,8,-29.765,0,0.16,0.89,0.871,0.107,0.361,82.506,69029,4,infj
26,INFJ ⁺⁎˚📼  ｡ﾟ★*,i watch the moon,Flemish Bond,0.38,0.0179,4,-22.85,0,0.033,0.982,0.000532,0.0699,0.0608,70.098,102857,4,infj
27,INFJ ⁺⁎˚📼  ｡ﾟ★*,there is light in us (sped up),Mathbonus,0.354,0.306,11,-12.725,1,0.0528,0.789,0.913,0.117,0.161,174.882,205768,3,infj
28,INFJ ⁺⁎˚📼  ｡ﾟ★*,オープニング,"天門, 熊木杏里",0.208,0.175,6,-14.304,1,0.0346,0.846,0.166,0.115,0.0568,86.017,120093,4,infj
29,INFJ ⁺⁎˚📼  ｡ﾟ★*,Anchor,Novo Amor,0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053,257533,4,infj
30,INFJ ⁺⁎˚📼  ｡ﾟ★*,us,keshi,0.394,0.282,8,-9.873,1,0.0367,0.928,0.0,0.342,0.296,118.317,248011,4,infj
