Track Name,Artists,Predicted_Preferences,mbti
You’re Losing Me (From The Vault),Taylor Swift,0.42149459024262476,enfj
Smile!,Juju B. Goode,0.19585336531042624,enfj
Again,Juho,0.19475170575611941,enfj
I Fall In Love,DK,0.186968838035978,enfj
A Cup of Latte (Feat. LEE JUNHYUK of MIRAE),"HYOJUNG, YUBIN (OH MY GIRL), LEE JUNHYUK",0.18285878789649745,enfj
Looking for you,KyoungSeo,0.17359198890270086,enfj
On your way,Libelante,0.16853774320644105,enfj
Say I Love You,INSEONG (SF9),0.16221774531622185,enfj
Dilemma,Green Day,0.14878688636433318,enfj
She's Going,SingAgain3 Singer No.49,0.14767463939868844,enfj
Biscuit,CHANMINA,0.1451505405383089,enfj
PUPPET,Guckkasten,0.14503479305065528,enfj
Finland (Feat. Sim JaeHyun),"OurR, Sim Jae Hyeon",0.14276734142035147,enfj
How are you making it look so easy? (Oshie-T),rEDOLENT,0.14137841605563384,enfj
기적은 없어도,Seo In Guk,0.1413277378770718,enfj
the scars,Bily Acoustie,0.14115534218504006,enfj
Losing You - Spotify Singles,"Gabry Ponte, bshp, Joe Cleere",0.1353886327344183,enfj
Bubblegum Dog,MGMT,0.13165794057257887,enfj
Really,Gwangil Jo,0.13141526436686363,enfj
Release Me,"Mark Knight, Armand Van Helden",0.13026823182511074,enfj
run for the hills,Tate McRae,0.1293278874072216,enfj
Happy Prince,"Elephant Gym, YILE LIN",0.12756764000527557,enfj
Perfect Night (Holiday Remix),LE SSERAFIM,0.12567644774559367,enfj
Discord (TAK Remix),QWER,0.12479122615824982,enfj
ICN > YVR,BIG Naughty,0.12397916600009558,enfj
Like A Dream,Ha Yea Song,0.12389478943943837,enfj
It’s Beginning To Look A Lot Like Christmas,J Rabbit,0.12337413517280135,enfj
Draw,TAEMIN,0.1220233180916314,enfj
Needle (feat. Drake),"Nicki Minaj, Drake",0.12170979491453629,enfj
Not An Angel,Tems,0.12082946877378142,enfj
Ending,KIM A REUM,0.12046725367991748,enfj
깜빡이 좀 켜고 들어와,"Kim Yang, 미쓰정",0.11887646758001724,enfj
Into The Groove,Khắc Hưng,0.1182790477450052,enfj
Hot and Cold (Feat. NO:EL),"Ourealgoat, NO:EL",0.1179895465653266,enfj
All Up to You,Yoo Jongkwon,0.11645438827430872,enfj
You're waiting again,Yeoeun,0.11626831771204942,enfj
100 Reasons,Vincent Blue,0.11534435712434381,enfj
